aaa	工艺
dth	成千上万
dti	寿光
dtj	故里
dtk	邫
dtl	不利因素
dtn	矿务局
dto	三季度
dtp	不稳定
dtq	厂长负责制
dtr	矿物质
dts	布告栏
dtt	古生物
dtu	三等奖
dtw	不符合
dtx	㥻
dty	面向市场
dua	歪门邪道
dub	劂
duc	2
dud	不准确
due	不着边际
duf	有关专家
dug	磋
duh	磁卡
dui	有关当局
duj	大问题
duk	矿产品
dul	有意思
dum	三部曲
dun	成立以来
duo	有关精神
dup	盛况空前
duq	辜负
dur	碰撞
dus	否决权
dut	有奖征文
duu	有关部门
duw	有关人士
dux	礠
duy	磋商
dva	2
dvd	有始有终
dve	硍
dvf	不好过
dvg	大好形势
dvh	2
dvi	三好学生
dvj	大好时光
dvk	2
dvl	䃳
dvm	2
dvn	2
dvo	友好精神
dvq	2
dvr	2
dvs	友好相处
dvt	友好条约
dvu	大刀阔斧
dvw	友好合作
dvx	成群结伙
dvy	在建设中
dwa	春节
dwb	不仅限于
dwc	奉劝
dwd	春耕
dwe	有偿服务
dwf	春运
dwg	奉
dwh	大体上
dwi	
dwj	蠢
dwk	古今中外
dwl	在全国范围内
dwm	秦岭
dwn	不会改变
dwo	百分数
dwp	百分之百
dwq	大伙儿
dwr	春播
dws	不仅可以
dwt	％
dwu	泰斗
dwv	耐人寻味
dww	赝
dwx	三八红旗手
dwy	矾
dxa	2
dxb	面红耳赤
dxc	2
dxd	大红大紫
dxe	2
dxf	寿比南山
dxg	龙王
dxh	成绩卓著
dxi	龙潭
dxj	有线电视
dxk	聋哑
dxm	龙岩
dxo	有线广播
dxq	2
dxr	龙泉
dxs	2
dxt	胡编乱造
dxu	龙门
dxw	龙凤
dxx	在组织上
dxy	砪
dya	原计划
dyb	太子
dyc	䃵
dyd	太原
dye	㕈
dyf	丈夫
dyg	䂴
dyi	丈
dyj	成效显著
dyk	丰衣足食
dyl	䃪
dym	2
dyn	碥
dyo	太康
dyp	有识之士
dyr	有效措施
dys	有效机制
dyt	尤为重要
dyu	碲
dyv	有话好说
dyw	磙
dyx	友谊比赛
dyy	在这方面
eaa	䏼
eac	爱莫能助
ead	臓
eae	腊月
eaf	毁坏
eag	毁灭
eaj	膜
eak	臙
eam	䐟
ean	䐑
eaq	䐭
ear	䝙
eat	2
eaw	臒
eax	2
eay	膵
eba	采取切实措施
ebc	鵩
ebd	采取不正当手段
ebe	月乃用舟家衣下
ebg	服刑
ebj	2
ebk	边防哨所
ebl	2
ebm	朏
ebn	肔
ebo	2
ebq	采取多种形式
ebr	服气
ebs	2
ebt	采取行动
ebu	边防部队
ebv	2
ebw	䳕
ebx	2
eby	䏜
ecb	2
ece	肥力
ecg	2
eci	肥水
eck	驾驶员
ecm	覶
ecn	腬
ecp	2
ecq	肥猪
ecs	2
ect	䏬
ecu	2
ecv	2
ecw	䝜
ecx	2
ecy	肞
edb	䐛
edc	胜不骄败不馁
edd	办不成
ede	腼腆
edf	悬而未决
edg	办不到
edh	夓
edi	2
edj	腌
edk	2
edl	2
edm	腼
edn	肬
edo	脄
edp	2
edq	䐒
edr	䝠
eds	䝝
edt	爱不释手
edu	膫
edw	朋友们
edy	胆大妄为
eea	脑力劳动
eeb	月出
eee	勰
eef	月刊
eeg	月球
eei	肝脑涂地
eej	2
eel	2
eep	肺腑之言
eeq	月色
eer	脱胎换骨
ees	䐆
eet	肜
eew	腴
eex	貕
eey	月夜
efb	脖子
efc	脚
efd	臑
efe	肝脏
eff	边境地区
efg	脚下
efh	豻
efi	脚注
efk	臌
efl	2
efn	
efp	用武之地
efq	脚印
efs	县直机关
eft	㲕
efu	肝癌
efw	肢体
egb	受到限制
egc	悬
egd	爰
ege	膊
egf	助教
egg	悬殊
egh	2
egi	助兴
egj	刞
egk	办事员
egl	2
egm	悬崖
egn	县属
ego	肺炎
egp	䢐
egq	用一句话来说
egr	悬挂
egs	䏞
egt	县委
egu	受到冲击
egv	脻
egw	悬念
egx	县级
egy	办事效率
eha	用工
ehb	2
ehc	遚
ehe	用脑
ehf	用场
ehg	用于
ehh	用餐
ehi	用法
ehj	用量
ehk	丯
ehm	2
ehn	用以
eho	用料
ehq	䏹
ehr	用兵
ehs	2
ehu	用意
ehv	2
ehw	用人
ehy	用计
eib	2
eic	2
eid	2
eif	2
eih	2
eii	2
eik	2
ein	胆小怕事
eio	2
eip	爱汉字就是爱祖国
eis	2
eit	䏚
eix	2
eiy	2
eja	2
eje	2
ejf	貋
ejg	䐎
ejh	胂
eji	胆小
ejj	用电量
ejl	胆略
ejo	2
ejq	2
ejr	2
ejt	胆管
eju	2
ejv	2
ejw	2
eka	加蓬
ekb	贺函
ekc	驾驶
ekd	加压
eke	加力
ekg	加速
ekh	加上
eki	加油
ekj	加盟
ekk	腭
ekl	驾车
ekm	脶
ekn	加以
ekp	加密
ekq	2
ekr	贺年
eks	哿
ekt	加重
eku	架次
ekw	加倍
ekx	加纳
eky	架设
elb	爱国阵线
elc	2
ele	舅舅
elf	爵士
elg	腘
elj	2
elk	2
ell	2
elm	2
eln	爱国心
elp	2
elq	臅
els	脾胃相投
elv	膢
elw	爱国侨胞
elx	边界线
ely	爱国主义
ema	爱岗敬业
emc	2
emd	腨
eme	2
emf	䏥
emg	胴
emi	2
emj	2
emm	䑍
emo	2
emr	2
ems	2
emt	2
emu	2
emw	觅食
emy	2
ena	2
enb	爱屋及乌
enc	2
end	胸怀大志
ene	2
enf	䏔
eng	甩开
enh	貑
eni	力学
enl	肠胃
enm	2
enn	肊
eno	䐖
enp	2
enq	加以解决
enr	甩掉
ens	鼠标
ent	月收入
enu	鼹
enw	加以分析
enx	䝚
eny	用心良苦
eoa	2
eob	2
eoc	2
eod	2
eoe	2
eog	2
eoh	2
eoi	2
eoj	2
eok	2
eol	2
eom	2
eon	臕
eop	2
eor	2
eos	2
eot	2
eou	臁
eow	毇
eox	2
eoy	脏话
epa	受苦
epb	受阻
epc	受骗
epd	迌
epe	脓
epf	脘
epg	受到
eph	2
epi	受潮
epj	2
epk	2
epl	边界
epn	爱情
epo	2
epp	受害
epq	舜
epr	受损
eps	2
ept	2
epu	边关
epv	爱好
epw	膣
epx	边疆
epy	受雇
eqb	䐢
eqc	脃
eqe	胸膛
eqf	2
eqh	㪒
eqj	彩色照片
eqk	胸中
eql	2
eqm	2
eqn	胸怀
eqo	边角料
eqr	脚镣手铐
eqs	2
eqt	2
equ	胸部
eqw	脍炙人口
eqy	肑
era	2
erc	力所能及
erd	脪
ere	肺气肿
erf	腯
erg	貃
erh	脌
eri	遥测
erj	2
erl	膴
erm	繇
ero	2
erp	2
erq	邈
err	脾气
ert	贺年片
erv	用兵如神
erw	力排众议
esa	2
esb	肠梗阻
esc	2
ese	采用
esf	彩云
esh	股票上市公司
esi	采光
esj	彩虹
esk	胢
esn	2
eso	彩灯
esq	腰包
esr	采掘
ess	用材林
est	2
esu	彩卷
esw	采集
esx	采编
esy	采访
eta	服务项目
etb	胜出
etd	胜利在望
ete	腹腔
etf	胜过
etg	服务于
eth	胙
eti	爱科学
etj	胜利果实
etk	貉
etl	膍
etm	䐿
etn	服务性
eto	膰
etp	胜利完成
etr	服务热线
ett	胜利
etu	腹部
etw	服务公司
etx	脢
ety	服务商
eua	脱节
eub	胖子
euc	2
eud	滕
eue	腹背受敌
euf	脱产干部
eug	䏠
euh	2
eui	脱产学习
euj	月产量
euk	脱口
eum	2
eup	腾空
euq	脱钩
eur	2
eus	2
eut	脱身
euw	爱立信
euy	滕州
eva	2
evb	2
evd	2
eve	貇
evf	爱好者
evg	腱
evh	2
evi	䐂
evj	2
evm	2
evo	2
evp	2
evq	2
evs	2
evv	2
evx	2
evy	肕
ewa	受人欺凌
ewb	2
ewc	䐋
ewd	Б
ewe	办公用品
ewf	受伤者
ewg	腧
ewh	脸上
ewi	臾
ewj	2
ewk	2
ewl	2
ewm	䝿
ewn	股民
ewp	办案
ewq	股金
ewr	办报
ews	股票
ewt	股长
ewu	脸部
ewv	朌
eww	办公
ewx	б
ewy	办公设备
exa	2
exc	2
exd	脱颖而出
exe	脸红脖子粗
exg	加强两岸
exi	乿
exj	加强监督
exm	2
exo	2
exq	2
exr	2
exs	加强检查督促
ext	加强和改进
exv	2
exw	加强领导
exx	豼
exy	加强交流
eyb	脑际
eyc	2
eyd	用词不当
eye	臃肿
eyf	用户协会
eyg	用户至上
eyh	2
eyj	舆论监督
eyk	脝
eyl	舆论界
eym	2
eyn	胲
eyq	脱离危险
eyr	脉搏
eys	2
eyt	胶片
eyu	膪
eyv	朖
eyw	腋
eyx	脉络
eyy	胶州
faa	二期工程
fab	2
fad	喜获丰收
fae	超期服役
faf	坩
fag	博茨瓦纳
fah	壏
faj	堰
fak	域
fam	墴
fan	地区性
fao	2
fap	规范字
faq	零花钱
far	南斯拉夫
fas	塔顶
fat	规范管理
fau	地区冲突
fav	2
faw	规范化
fax	规范经营
fay	示范户
fba	土耳其
fbc	2
fbd	地磁
fbe	地貌
fbf	地震
fbg	地下
fbh	地点
fbi	地温
fbj	南联盟
fbk	进出口
fbl	地界
fbn	地层
fbo	夫子庙
fbp	逇
fbq	地名
fbr	地热
fbs	无隙可乘
fbt	地利
fbu	地产
fbv	2
fbw	地段
fbx	壣
fby	地方
fca	动荡
fcb	埃及
fcc	劫难
fcd	却不
fce	劫
fcf	云南
fcg	运到
fch	走马上任
fci	支流
fcj	刦
fck	动听
fcl	运输
fcm	2
fcn	支书
fco	走马灯
fcp	才能实现
fcq	去留
fcr	支持
fcs	支配
fct	运行
fcu	支
fcv	刧
fcw	支付
fcx	支线
fcy	无能为力
fda	震荡
fdb	城防
fdc	老大难
fdd	十三大
fde	坜
fdf	雼
fdg	需求
fdh	坯
fdi	示威游行
fdj	城里
fdm	顸
fdn	震惊
fdp	志愿军
fdq	过不多久
fdr	震撼
fds	都不可能
fdt	坏处
fdu	地面站
fdv	城建
fdw	雷厉风行
fdx	城乡
fdy	坏话
feb	垺
fed	动脉硬化
fee	协助
fef	无边无际
feg	无助于
feq	堄
fer	霢
fes	动力机械
fet	㘦
feu	协办单位
fev	2
few	协会
fey	协调
ffa	款项
ffb	增进了解
ffc	地震预报
ffd	二十三
ffe	运动服
fff	亖
ffg	二十五
ffh	卦
ffi	云南省
ffj	零零星星
ffk	封口
ffl	二十四史
ffn	圬
ffo	寺庙
ffp	堵塞
ffq	南朝鲜
ffr	栽培技术
ffs	土木
fft	博士生
ffu	墙
ffv	二十九
ffw	二十八
ffx	鼃
ffy	二十六
fga	干警
fgb	坉
fgc	干预
fgd	十大
fge	埔
fgf	⒒
fgg	干
fgh	士
fgi	地下水
fgj	埂
fgk	十足
fgl	起死回生
fgm	二则
fgn	十一届三中全会以来
fgo	干燥
fgp	填平补齐
fgr	干扰
fgs	十杰
fgt	地球物理
fgu	干部
fgv	干好
fgw	十八
fgx	干线
fgy	雨衣
fha	武警
fhb	走出
fhc	直观
fhd	起码
fhe	武力
fhf	㱏
fhg	越
fhh	走上
fhi	武汉
fhj	真是
fhk	武器
fhl	赶回
fhm	考虑周到
fhn	起
fho	起床
fhp	真空
fhq	直销
fhr	直接
fhs	真相
fht	走向
fhu	趑
fhv	起始
fhw	颠
fhx	直线
fhy	走访
fia	霟
fib	未了
fic	远水难救近火
fid	未成
fie	霪
fif	远洋运输
fig	未来
fih	䙿
fii	无党派人士
fij	载誉归来
fik	干涉中国内政
fil	云游四方
fim	干涉内政
fin	教学改革
fio	2
fip	未完
fiq	未免
fir	未按
fis	真没想到
fit	违法行为
fiu	未曾
fiv	未婚
fiw	声泪俱下
fix	违法经营
fiy	未变
fja	教师节
fjb	进取
fjc	朝圣
fjd	坦克
fjf	韩
fjg	堤
fjh	刌
fji	井水
fjj	朝野
fjk	进口
fjl	韩国
fjm	堤岸
fjn	进展
fjo	霓虹灯
fjp	进军
fjq	朝鲜
fjr	朝气
fjt	进入
fju	埋头
fjv	刱
fjw	刊登
fjx	堒
fjy	坦诚
fkb	吉隆
fkc	鼓劲
fkd	鼓励
fke	喜爱
fkf	鼓动
fkg	露天
fkh	露
fki	鼓掌
fkj	吉日
fkk	鼓吹
fkl	无足轻重
fkm	埙
fkn	喜剧
fko	※
fkp	嘉宾
fkq	嘉鱼
fkr	喜看
fks	武器禁运
fkt	鼓乐
fku	喜
fkv	动员群众
fkw	喜人
fkx	武器弹药
fky	喜讯
fla	载荷
flb	2
flc	2
fld	十四大
flf	㿻
flg	卖国求荣
fli	顽固派
flj	运输量
flk	䨓
fll	靁
flm	运输网
fln	㥁
flp	无固定收入
flq	畞
flr	2
fls	2
flt	雷管
flu	戴罪立功
flw	载货
flx	运输线
fly	直辖市
fma	献艺
fmb	献出
fmd	南丰
fme	南县
fmf	坍塌
fmg	南亚
fmh	南非
fmi	南沙
fmk	2
fmm	南丹
fmn	貮
fmo	2
fmp	献礼
fmr	2
fmt	献血
fmu	南
fmv	2
fmw	南风
fmx	南疆
fmy	垻
fna	专著
fnb	㐋
fnd	志愿
fne	卖力
fnf	场地
fng	无异于
fnh	违
fni	违法
fnj	声明
fnk	专员
fnl	专车
fnm	志丹
fnn	圮
fnp	真心实意
fnq	违犯
fnr	场
fns	专机
fnt	专程
fnu	忈
fnv	亐
fnw	馨
fnx	专线
fny	专访
foa	䞑
fob	赧
foc	垿
fof	赭
fog	墣
foh	赪
foi	赤水
foj	赨
fok	2
fol	2
fom	䞒
fon	塶
foo	赯
fop	无米之炊
foq	赦免
for	专业技术人员
fos	2
fot	赦
fou	灻
fov	墉
fow	专业人员
foy	赤诚
fpa	过节
fpb	孛
fpc	2
fpd	过大
fpf	过去
fpg	懿
fpi	过渡
fpj	过量
fpk	迀
fpl	考察团
fpm	索贿
fpn	过快
fpo	过度
fpp	赤裸裸
fpq	过错
fpr	过年
fps	无家可归
fpt	过剩
fpu	过问
fpv	垵
fpw	悫
fpx	坨
fpy	南宁市
fqa	远东
fqb	圥
fqc	无能
fqd	均有
fqe	无须
fqf	坎坷
fqg	无毒
fqh	远非
fqi	远洋
fqj	元帅
fqk	堍
fql	无畏
fqm	远见
fqn	坞
fqo	无烟
fqp	无穷
fqq	均匀
fqr	远近
fqs	无机
fqt	均衡
fqu	无关
fqv	无妨
fqw	元件
fqx	无线
fqy	无效
fra	地质勘探
frb	支持了
frc	直接参与
frd	直接原因
fre	无所用心
frf	违反规定
frg	支持下
fri	声势浩大
frk	2
frl	十指连心
frn	地质局
fro	2
frp	亏损额
frr	趁热打铁
frs	十年树木
frt	支气管
fru	地热资源
frv	十年九不遇
frw	二氧化碳
frx	二年级
fry	无所谓
fsa	栽花
fsb	2
fsd	无可厚非
fse	2
fsf	栽培
fsg	酨
fsh	圢
fsi	需要注意
fsj	需要量
fsk	专横跋扈
fsm	2
fsn	2
fso	2
fsq	无可争辩
fsr	考核制度
fss	栽植
fst	二极管
fsu	超标准
fsv	老板娘
fsw	栽倒
fsx	规模经营
fsy	二板市场
fta	老区
ftb	孝
ftc	都能
ftd	考古
fte	耂
ftf	才干
ftg	增长速度
fth	考虑
fti	老汉
ftj	都
ftk	教员
ftl	进行国事访问
ftm	增长幅度
ftn	教科书
fto	献身精神
ftp	教室
ftq	老外
ftr	老年
fts	考核
ftt	考生
ftu	老总
ftv	堆积如山
ftw	老人
ftx	霉
fty	攼
fua	丧葬
fub	培养了
fuc	2
fud	二次大战
fue	增加
fuf	雴
fug	增至
fuh	老前辈
fui	南美洲
fuj	增量
fuk	裁判员
ful	啬
fum	增幅
fun	支部书记
fup	增补
fuq	境外
fur	规章制度
fus	专门机构
fut	增生
fuu	增产
fuv	干部群众
fuw	零部件
fux	博闻强记
fuy	培育
fvb	2
fvc	2
fve	南召县
fvf	真刀真枪
fvg	进退两难
fvi	雪水
fvj	2
fvk	2
fvm	雪崩
fvo	封建迷信活动
fvp	封建社会
fvq	2
fvr	封建制度
fvs	2
fvt	堖
fvu	封建意识
fvx	封建统治
fvy	喜怒哀乐
fwa	规划
fwb	均作了
fwc	规劝
fwd	零碎
fwe	截肢
fwf	逵
fwg	夫妻
fwh	零点
fwi	截流
fwj	零时
fwk	超凡品味
fwl	颠倒黑白
fwm	规则
fwn	堠
fwo	零度
fwp	老人家
fwq	专人负责
fwr	十几年来
fws	规模
fwt	十分重视
fwu	十分关心
fwv	十拿九稳
fww	替代
fwx	十分费解
fwy	堆
fxa	2
fxb	2
fxc	无比骄傲
fxd	动弹不得
fxf	无缘无故
fxi	增强活力
fxj	无线电厂
fxl	增强团结
fxn	无线局域网
fxo	2
fxp	城乡之间
fxq	2
fxt	二级简码
fxu	城乡差别
fxv	城乡建设
fxw	城乡人民
fxx	堦
fxy	盏
fya	培训工作
fyc	无言对答
fyd	直言不讳
fyf	城市规划
fyg	教育事业
fyh	超高频
fyi	教育学
fyj	霁
fyk	墩
fyl	地方国营
fyn	协调发展
fyp	裁军
fyq	协议金额
fyr	垴
fys	协调配合
fyt	城市管理
fyu	墒
fyv	无论如何
fyw	城市化
fyx	教育经费
fyy	南京市
gaa	开幕
gab	开除
gac	邢台
gad	形成
gae	开办
gaf	开封
gag	开来
gah	形式上
gai	刑法
gaj	型
gak	瑾
gal	开车
gam	璜
gan	开展
gao	开庭
gap	开赛
gaq	形象
gar	开拓
gas	开票
gat	开盘
gau	形状
gav	开垦
gaw	开创
gax	下世纪初
gay	开设
gbb	瑘
gbd	击破
gbf	2
gbg	㺭
gbh	2
gbj	顿时
gbl	2
gbm	击败
gbn	屯
gbo	2
gbp	一孔之见
gbq	2
gbr	2
gbs	2
gbu	2
gbv	屯垦
gbw	击剑
gby	2
gca	致敬
gcb	到职
gcc	2
gcd	互通有无
gce	㻆
gcf	到
gcg	到来
gch	至上
gci	一马当先
gcl	2
gcm	到岸
gcn	互通情报
gcp	到家
gcq	致欢迎词
gcs	到顶
gct	致辞
gcu	致病
gcv	2
gcw	致使
gcx	2
gcy	致词
gda	⑺
gdb	表达了
gdc	蚕桑
gdd	▲
gde	＠
gdf	环境
gdg	⑸
gdh	′
gdi	天津
gdj	天时
gdk	环路
gdl	◆
gdm	天山
gdn	正确性
gdo	天府
gdp	&
gdq	天色
gdr	」
gds	／
gdt	⑴
gdu	天门
gdv	⑼
gdw	天体
gdx	№
gdy	正确认识
gea	逐项
geb	逐出
gec	豝
ged	表达
gee	逐月
gef	表示
geg	玥
geh	敷
gei	逐渐
gej	静电
gek	青史
gel	开脱罪责
gem	青山
gen	表层
geo	下脚料
gep	靛
geq	青岛
ger	青年
ges	表述
get	副县长
geu	表彰
gev	豤
gew	静坐
gex	五彩缤纷
gey	瑶族
gfa	五十七
gfb	环境卫生
gfc	表示欢迎
gfd	玩耍
gfe	现场采访
gff	表示支持
gfg	万无一失
gfh	玩具
gfi	平均水平
gfj	一无是处
gfk	下坡路
gfl	迂回
gfn	表示慰问
gfo	一塌糊涂
gfp	柬埔寨
gfq	一块儿
gfr	平均年龄
gfs	2
gft	政协委员
gfu	表示关切
gfv	五十九
gfw	亚运会
gfy	五十六
gga	一切
ggb	表现出
ggc	一双
ggd	一百
gge	一边
ggf	一起
ggg	一天
ggh	一些
ggi	一流
ggj	一旦
ggk	一号
ggl	王国
ggm	一则
ggn	一致性
ggo	一度
ggp	刑事案件
ggq	五金
ggr	一批
ggs	一概
ggt	一般
ggu	一半
ggv	一如
ggw	一个
ggx	一级
ggy	一方
gha	璩
ghb	一辈子
ghc	下台
ghd	正在
ghe	下肢
ghf	政协
ghg	㺺
ghh	正点
ghi	政治
ghj	琸
ghk	丅
ghl	下车
ghm	下岗
ghn	忑
gho	正业
ghp	正视
ghq	下旬
ghr	逐步提高
ghs	下述
ght	政策
ghu	一些问题
ghv	正好
ghw	正值
ghx	政绩
ghy	下调
gia	政治工作
gib	列举了
gic	2
gid	琐碎
gie	求助
gif	正常运转
gig	政治素质
gih	政治目的
gii	救济
gij	求贤
gik	珠江口
gil	救国
gim	开学典礼
gin	政治局常委
gio	救济粮
gip	政治家
giq	救济金
gir	正常的
gis	正当权益
git	求得
giu	政治问题
giv	珰
giw	救人
gix	亚洲纪录
giy	求
gja	丣
gjc	更难
gjd	一日三餐
gjf	更无
gjg	理事
gjh	㺫
gji	更小
gjj	来电显示
gjk	理顺
gjl	㻴
gjm	理财
gjn	理性
gjo	更应
gjp	惠安
gjq	理解
gjr	更换
gjs	更要
gjt	理智
gju	理疗
gjv	更是如此
gjw	理化
gjx	五星红旗
gjy	理论
gkb	副职
gkc	吞吐能力
gkd	事故
gkf	带动
gkg	整顿
gkh	玔
gki	速
gkj	带电
gkk	噩
gkl	逼
gkm	翮
gkn	整改
gko	事业
gkp	事实
gkq	逗留
gkr	事后
gks	副本
gkt	事物
gku	逗
gkv	剚
gkw	整体
gkx	带给
gky	事迹
gla	2
glc	2
gld	开国大典
gle	2
glf	画坛
glg	一回事
gli	画法
glj	2
glk	一连串
gll	救国图强
glo	一团糟
glp	画家
gls	2
glt	副团长
glu	两国间
glw	画像
gly	正因为如此
gma	曹
gmb	两院
gmc	责难
gmd	现在
gme	两用
gmf	现场
gmg	再现
gmh	形同虚设
gmi	枣
gmj	现时
gmk	㺾
gml	两辆
gmm	璎
gmn	两翼
gmo	枣庄
gmp	瑞安
gmq	现象
gmr	两手
gms	″
gmt	再生
gmu	再次
gmv	刺刀
gmw	丙
gmx	刺绣
gmy	珼
gna	开发区
gnb	开展了
gnc	2
gnd	与否
gne	恶性膨胀
gnf	更快地发展
gng	珝
gnh	下情上达
gnj	致以最热烈的祝贺
gnl	2
gnn	玌
gno	2
gnp	恶性案件
gnr	整改措施
gns	2
gnt	副局长
gnu	开发部
gnw	开发公司
gnx	殖民统治
gny	开发商
goa	亚欧
gob	来函
goc	2
god	严厉
goe	严加
gof	晋城
gog	恶
goh	亚非
goi	灭
goj	来电
gok	灭火器
gom	严峻
gon	事业心
goo	灭火
gop	亚军
gor	严打
gos	严禁
got	严重
gou	事业单位
gov	严肃
gow	恶化
gox	晋级
goy	来访
gpa	2
gpc	天之骄子
gpd	迋
gpf	事实真相
gpg	逐字逐句
gph	琯
gpi	事实清楚
gpj	一窝蜂
gpk	2
gpl	璭
gpn	现实性
gpq	正襟危坐
gpr	瑸
gps	与之相比
gpt	一定程度
gpu	天安门广场
gpw	一定会
gpx	两审终审制
gpy	现实主义
gqa	殡葬
gqb	迈出
gqc	万能
gqd	残存
gqe	殍
gqf	殖
gqg	死于
gqh	殩
gqi	珧
gqj	烈
gqk	殒
gql	死因
gqm	万岁
gqn	烈性
gqo	烈火
gqp	殡
gqq	残留
gqr	天然气
gqs	天然林
gqt	歼
gqu	残疾
gqv	兀
gqw	殄
gqx	裂缝
gqy	死亡
gra	青年工人
grb	一揽子协议
grd	残缺不全
gre	2
grf	开拓进取
grg	一年来
grh	2
gri	珠海
grj	2
grk	一气呵成
grl	救护车
grm	残兵败将
grn	一刹那
gro	一手遮天
grp	瑰宝
grq	一年多来
grr	一手抓
grs	2
grt	琕
gru	棘手问题
grw	开拓创新
grx	一年比一年
gry	束手就擒
gsa	末期
gsc	2
gsd	一概而论
gsf	到机场迎接
gsg	一模一样
gsi	互相学习
gsj	末日
gsk	唜
gsl	2
gsn	琴棋书画
gso	2
gsq	2
gsr	严格执行
gss	严格要求
gst	║
gsu	互相尊重
gsv	2
gsw	两极分化
gsy	㺷
gta	一筹莫展
gtb	来得及
gtc	一箭双雕
gtd	严重破坏
gte	珘
gtf	平稳过渡
gtg	一系列
gth	2
gti	一息尚存
gtj	严重影响了
gtk	副委员长
gtl	麦田
gtm	严重曲折
gtn	政策性
gto	严惩腐败
gtp	现役军人
gtq	一笔勾销
gtr	一般的
gts	平等相待
gtt	一条街
gtu	一等奖
gtw	一般人
gtx	珻
gty	一般说来
gua	副总工程师
gub	一意孤行
guc	一次又一次
gud	颊
gue	开门办学
guf	平均
gug	平静
guh	一决雌雄
gui	平滑
guj	平时
guk	平顺
gum	开门见山
gun	下决心
guo	平度
gup	平定
gur	更新换代
gus	表决权
gut	副部长
guu	平凉
guv	亊
guw	残疾人
gux	副总统
guy	平房
gva	开始工作
gvb	开始了
gvc	2
gvf	开始进行
gvg	一刀两断
gvh	璶
gvi	㻖
gvm	2
gvp	开始实行
gvq	2
gvr	2
gvt	严肃处理
gvu	2
gvv	一九九八年
gvw	到群众中去
gwa	下个世纪
gwb	玱
gwc	现代通信
gwd	一件大事
gwe	副作用
gwf	万亿元
gwg	整体素质
gwh	现代战争
gwi	再创辉煌
gwj	一个时期的
gwk	珍品
gwl	与会国
gwm	殊途同归
gwn	珍惜
gwo	2
gwp	珍视
gwq	殡仪馆
gwr	与会的
gwt	现代科学技术
gwu	一个问题
gwv	带领群众
gww	一体化
gwx	融会贯通
gwy	玐
gxa	毒药
gxc	正统观念
gxd	一丝不苟
gxe	一贯采取
gxf	一贯支持
gxg	毒素
gxi	互派
gxj	毒蛇
gxp	毒害
gxr	互换
gxs	素材
gxt	副组长
gxu	素养
gxv	2
gxw	一级企业
gxx	瑎
gxy	互为
gya	理论工作者
gyb	理论联系实际
gyc	天文台
gyd	两方面
gyf	来访者
gyg	琂
gyh	斑点
gyi	玊
gyk	玉器
gyl	理论界
gym	琼山
gyn	一言以蔽之
gyo	副主席
gyp	班禅
gyr	更高的
gys	班机
gyt	璇
gyu	理论问题
gyw	平方公里
gyx	班级
gyy	死亡率
haa	虚荣
hab	2
hac	2
had	䁰
hae	皻
hag	眶
hai	2
haj	瞙
hak	虎口
hal	占世界人口
han	虚心
hao	觑
haq	
har	虚拟
has	虎林
hat	虐待
hau	虎门
hav	䀙
haw	彪
hax	虚弱
hay	虔诚
hba	齛
hbb	䶔
hbc	䶕
hbd	䶝
hbe	齯
hbf	＄
hbg	䶦
hbi	2
hbj	齵
hbk	齶
hbl	䁅
hbm	䶣
hbo	2
hbq	䶟
hbr	齭
hbs	齽
hbt	齚
hbu	齸
hbv	2
hbw	䶖
hbx	2
hby	䶩
hca	皮鞋
hcb	皮子
hcc	㿬
hcd	颇有
hce	颇受
hcf	㿹
hcg	皮球
hch	点对点协议
hcj	㿸
hcl	2
hco	2
hcq	皮包
hcr	非对抗性
hct	皮毛
hcv	㿳
hcw	皮货
hcx	2
hcy	颇高
hda	虚有其表
hdc	悲欢
hdd	点石成金
hde	2
hdf	具有十分重要的意义
hdg	占有一席之地
hdh	非
hdi	非洲
hdj	目不暇接
hdl	目不转睛
hdm	頉
hdn	悲惨
hdo	2
hdp	2
hdr	2
hds	㮂
hdt	具有重要的
hdu	悲壮
hdw	非但
hdx	眬
hdy	非议
hea	2
hed	2
hee	2
hef	肯干
heg	䁔
hei	2
hek	2
hem	2
hen	2
heo	2
hep	肯定
het	瞬息
hev	2
hew	2
hex	2
hey	2
hfa	2
hfb	2
hfc	瞌
hfe	2
hff	歭
hfg	2
hfh	瞌睡
hfi	眎
hfj	2
hfk	瞦
hfl	2
hfm	2
hfo	2
hfr	2
hft	此起彼伏
hfv	2
hfw	歧途
hfy	虚无主义
hga	非正式
hgb	上阵
hgc	卡通
hgd	丄
hge	上月
hgf	上去
hgg	上来
hgh	凸
hgi	督
hgj	䁣
hgk	䀳
hgl	上车
hgm	上周
hgn	上层
hgo	上火
hgp	督察
hgq	上饶
hgr	上年
hgs	上校
hgt	上午
hgu	上将
hgv	䀴
hgw	上任
hgx	上缴
hgy	上帝
hha	矑
hhb	目睹了
hhd	颦
hhe	2
hhg	䀠
hhh	频频
hhj	2
hhk	䀡
hhl	亅
hhm	2
hhn	愳
hho	煛
hhp	瞾
hhr	目的
hhs	步枪
hht	频繁
hhu	目前
hhv	非此即彼
hhw	矍
hhx	瞠目结舌
hhy	频率
hia	2
hib	非法出版
hic	2
hid	非常成功
hie	非常遥远
hif	2
hig	非常严格
hih	2
hii	非法活动
hij	非常时期
hik	2
hin	非法收入
hio	非常精彩
hip	非洲之角
hir	非法手段
