GGL	一
GNU	忢
NBY	忣
NFQ	忨
NWC	忪
NNW	快
NCN	忬
NYH	忭
NQA	忯
NVF	忰
NRB	忷
NNH	忸
NGG	忹
NQW	忺
NRH	忻
QRN	忽
NQN	怉
NVK	怊
NDH	怌
THF	怎
NQK	怐
VCN	怒
NGH	怔
NRG	怕
NDM	怖
DNU	怘
NDG	怙
NEG	怚
NJG	怛
LNU	思
CKN	怠
NCK	怡
NRW	怢
RWN	怣
QVN	急
NGU	怦
NTG	性
QBN	怨
NNX	怩
NCF	怪
NXJ	怫
NLG	怬
NNT	怭
NXE	怮
NFC	怯
NYX	怰
NGM	怲
NKQ	怳
NGN	怴
NSY	怵
SYN	怸
NKW	怾
NQQ	恀
NQJ	恂
NFF	恃
NCT	恈
NEE	恊
NQI	恌
NIG	恍
AWY	恐
NQD	恑
NSG	恓
VKN	恕
NWS	恘
FFN	恚
NLK	恛
NAA	恜
NRD	恡
NDO	恢
BNY	恥
NVE	恨
LDN	恩
NTK	恪
NMG	恫
NTD	恬
AWN	恭
THN	息
NWG	恰
YJN	恴
GMN	恵
WSN	恷
NCE	悀
NKE	悁
NLS	悃
NWK	悅
NUX	悌
NJF	悍
NDW	悏
NKC	悒
NTX	悔
NCW	悛
NKG	悜
NKN	悞
TJN	悡
NYV	悢
TLQ	悤
WQI	您
NIR	悩
NPF	悰
UNI	悶
NTB	悸
NPH	悺
NFU	悻
NGV	悽
SRN	惁
NJX	惃
NGE	情
NMF	惆
NJS	惈
IHK	惉
NPQ	惋
NQG	惍
TKN	惒
NOO	惔
NJQ	惕
NMU	惘
NQR	惚
NIM	惝
NWY	惟
GJH	惠
NXY	惤
NOH	惦
NDA	惰
NPL	惲
SHN	想
NMD	惴
NJT	惺
NTO	愀
TON	愁
NPG	愃
NNK	愇
NQM	愌
NTJ	愎
UJN	意
NPT	愘
JMH	愚
EPN	愛
NAD	愜
DGK	感
NLN	愢
NLY	愣
NAM	愥
NRQ	愧
NGX	愫
NER	愮
NJI	愰
NME	愲
HHN	愳
NXU	愵
NXH	愼
NRN	愾
NEX	慀
NSS	慄
NCY	慅
NUV	慊
CEX	態
NAY	慌
NLW	慍
NFH	慎
NPJ	慏
NSF	慓
NCC	慘
LRN	慙
NLR	慚
NMW	慛
NDR	慡
NJL	慢
NXF	慣
DHD	慧
NVC	慨
NLP	慩
NAK	慪
GUS	慭
NFI	慰
NGJ	慱
NAH	慳
NNR	慴
NOV	慷
UCA	慿
DEP	憂
NIP	憆
NHA	憈
NUL	憎
NWF	憏
NOQ	憐
NKK	憚
NSJ	憛
NSO	憟
NFA	憤
NUE	憪
NUY	憫
NJY	憬
NDU	憭
NRL	憮
NAQ	憯
PGL	憲
NVA	憳
NXG	憴
NUJ	憶
NMA	憹
NRY	憿
NAT	懂
NQE	懈
NTM	懊
NLF	懌
NFW	懎
NEP	懓
NFO	懗
NEA	懚
NXT	懝
NAP	懞
NOS	懡
NFN	懤
NFD	懦
NPN	懧
NDJ	懨
NJA	懪
NRR	懫
NOA	懭
NDE	懮
NQY	懰
NAL	懵
NYL	懷
NWW	懺
NHH	懼
NBB	懾
GNX	戉
DGX	戌
DYX	戍
ADE	戎
TRX	我
AAK	戒
AAU	戔
DHA	戛
MAY	戝
UJX	戠
KBX	戢
ILA	戦
DEA	戫
KKL	戰
FLA	戴
RND	戶
GNR	戸
YND	戾
YNY	房
RNR	所
YNQ	扅
YNO	扊
RTG	手
RGH	扌
RVN	扏
RWY	扒
RSH	打
RBT	扔
RFG	扗
RDY	扙
RAG	扛
RNF	扟
RBN	扡
RTN	扢
RGQ	扤
RTA	扥
RVY	扨
RNH	扭
RWV	扮
RHG	扯
RBY	扱
RRC	扳
RWJ	扴
RFW	扶
RXX	批
RQA	扺
RQW	扻
RDB	扼
RAY	找
BDI	承
RFC	技
RCQ	抁
RGG	抂
RYH	抃
RIT	抄
RYY	抆
RJG	抇
RCN	把
RNY	抋
RPQ	抌
RFQ	抏
RQB	抑
RDH	抔
RWC	投
RUF	抖
RYW	抗
RRH	折
RQU	抣
RGM	抦
RKW	抧
RGU	抨
RMF	抩
RHC	披
RCK	抬
RQN	抱
RSK	抲
RRW	抶
RTP	抸
RGS	抹
RFI	抺
RLH	押
RMG	抽
RNA	抿
RKQ	拀
REK	拁
RYG	拄
RRY	拆
RXY	拇
RHK	拈
RUG	拉
RDN	拋
RRG	拍
VCR	拏
RAF	拑
RAN	拒
RDG	拓
RDC	拔
RPX	拕
RTB	拖
RXE	拗
RQK	拘
RBM	拙
RVK	招
RTW	拠
ROC	拡
RSG	拪
RVE	拫
RTD	括
RAA	拭
RFK	拮
RBI	拯
RWT	拰
AWR	拲
UDR	拳
RVQ	拶
RFT	拷
REE	拹
RDO	拻
RUA	拼
RJX	拽
RWG	拾
RRE	挀
RFF	持
RIG	挄
RBS	挅
RWS	挆
RXJ	指
RPV	按
RTK	挌
VKR	挐
RQI	挑
RPT	挓
RYE	挔
RBG	挕
RGX	挗
IGW	挙
RGO	挜
RVF	挦
RCT	挨
RWK	挩
RWW	挫
RFP	挬
RDF	振
RKG	挰
RII	挱
RTX	挴
RGA	挵
RDT	挷
RHQ	挸
RKC	挹
RGI	捄
RCE	捅
RFO	捇
RKH	捉
REB	捊
REF	捋
RIE	捎
RJF	捏
RKE	捐
RCW	捘
RQG	捦
RDW	捧
RWF	捨
ROW	捬
RRT	捭
RJS	捰
RUD	捲
RGV	捷
RVI	捸
RTV	捼
RPH	捾
RRQ	掀
ROH	掂
RVP	掃
RMU	掆
RCC	掇
REP	授
RHJ	掉
RUK	掊
ROQ	掋
RDS	掎
RQR	掏
RQE	掐
RHD	排
RNB	掘
REV	掙
REQ	掜
RES	採
RUV	接
RPW	控
RDJ	掩
RAJ	措
RBC	掫
RQO	掬
RYN	掮
RHE	掯
RBL	掹
RCJ	掻
RUO	掽
RXG	掾
RGL	揀
RHM	揁
RLN	揌
RAL	描
REA	揑
RTF	插
RKB	揖
RQM	換
RNG	握
RMD	揣
RVC	揤
TOR	揫
RJQ	揭
RPL	揮
REG	援
RVG	揵
RUX	揹
RDI	揼
RJL	揾
RAM	搆
RKM	損
RGE	搏
RYK	搞
RUB	搠
RUW	搤
RXU	搦
RJN	搨
ROV	搪
RTE	搬
RAW	搭
RSS	搮
RME	搰
RLW	搵
RLD	摁
RRS	摋
RLA	摑
RYX	摔
RAQ	摕
RYU	摘
RLP	摙
RYR	摛
RXF	摜
RON	摝
RLX	摞
RLV	摟
RTL	摠
RDR	摤
RTJ	摥
RMW	摧
RNI	摨
RLR	摲
RGJ	摶
RVJ	摷
RSF	摽
RXK	摾
RLT	撂
LWC	撃
RUM	撇
ROO	撈
RVA	撏
RAE	撒
RJY	撔
RAD	撕
RUJ	撞
RSJ	撢
RYC	撤
RWX	撥
RXQ	撧
RDU	撩
RCD	撪
RRL	撫
RTO	播
RJB	撮
RBD	撱
ROG	撲
RQQ	撳
RFU	撻
RFL	擂
RYL	擅
RLF	擇
RLQ	擉
LBW	擊
RIP	擋
RKK	操
RAI	擓
RQD	擔
RTM	擙
RJE	擝
RFN	擣
RFD	擩
RXT	擬
RPG	擯
RPN	擰
RUT	擱
RUS	擲
ROA	擴
ROS	擵
RTU	擶
RVL	擸
RLC	擺
RRX	擽
RDE	擾
SRR	攀
RLL	攂
RUE	攏
RPA	攐
RMM	攖
RBB	攝
RAK	攤
RTH	攥
RER	攪
RHH	攫
RAH	攬
HCU	攴
NHT	收
GNT	攷
NTY	改
ATY	攻
YTY	放
GHT	政
QKT	敂
DTY	故
OTY	敉
TKT	敋
GIY	救
GKT	敔
MTY	敗
FTB	教
NBT	敢
OOH	敥
UKT	敨
AQK	敬
JGQ	敭
GKI	整
LVT	數
HPT	敹
YYG	文
YBF	斈
YJF	斉
YHQ	斍
YYV	斏
GYG	斑
YJE	斔
OUF	料
CCP	斚
KKP	斝
EWU	斞
RTT	斤
RYI	斥
WRR	斧
QKR	斪
DRH	斫
LRH	斬
AJR	斮
USR	新
XXG	斷
YTW	斻
YTB	施
YCI	旀
YTR	旂
YTE	旅
YRM	旆
YYC	旈
YRN	旊
YTN	旋
YTT	族
YTQ	旐
YDS	旑
YTI	旓
YVG	旔
YTO	旙
YTS	旚
YTU	旞
VCA	既
JGF	旦
XJF	旨
JFJ	早
JVT	旫
VJD	旭
VJF	旮
JVB	旯
JFH	旰
JDU	旲
JQY	旳
JMJ	旵
JNR	旸
JGG	旺
JYU	旻
JGB	旽
JQU	昀
JQB	昂
JRC	昄
JBY	昅
JTA	昇
JYT	昉
JGD	昊
JJF	昌
JJG	昍
JEG	明
QAJ	昏
JWV	昐
JQR	易
AJF	昔
JRH	昕
JYR	昘
THJ	昝
JTG	星
JMD	映
JBM	昢
JWE	昣
DWJ	春
JDJ	昦
JFI	昧
JTH	昨
JGS	昩
JCA	昪
JAE	昮
JUF	昱
JXJ	昲
JRW	昳
JQT	昴
JLF	昷
JAB	昻
JDX	昽
JOC	昿
JQI	晁
JIG	晃
GCC	晉
JTM	晌
JPV	晏
JWY	晗
JCW	晙
JQK	晚
JUX	晜
JRD	晞
JDN	晟
JRR	晣
JGK	晤
JPF	晥
JTX	晦
JDF	晨
UOG	普
JSR	晰
JEQ	晲
SRJ	晳
JGE	晴
JJJ	晶
TDK	智
JSS	晽
JTY	暀
JFA	暁
JHD	暃
JPG	暄
JNH	暇
JPL	暈
JDM	暊
JNK	暐
JFT	暑
JJT	暒
JGL	暕
JUJ	暗
JER	暚
JHJ	暢
JRN	暣
JJP	暥
JWF	暩
LRJ	暫
JTW	暰
JAA	暱
JAW	暴
JOQ	暽
JFP	曀
JVI	曃
JSJ	曋
JXT	曏
JRY	曒
JAQ	曔
JEP	曖
JOG	曗
JNW	曜
JJA	曝
JOA	曠
JPD	曢
JHA	曥
JUE	曨
JGM	曬
JNI	曯
JHN	曰
MAD	曲
GJR	更
JXY	曵
GMJ	曺
JQA	曻
JLC	曼
ULJ	曾
FWF	替
JBC	最
JBE	朂
JHG	朄
EEE	月
DEF	有
EFQ	朊
EEG	朋
EWV	朌
EBC	服
EWY	朎
EBM	朏
EQK	朐
MUA	朑
EQI	朓
EYV	朖
YVC	朗
ECW	朘
YNJ	朚
YNE	望
EYK	朜
FJF	朝
EAM	朠
ERB	朡
MUO	朥
EAP	朦
EUE	朧
FII	未
GSI	末
SGD	本
SNN	札
FQY	朮
SNB	朰
WSU	朵
BSU	朶
SVT	朷
SVN	朹
SXN	朼
SSH	朾
SFN	杇
SCY	杈
SET	杉
SKH	杊
SBG	杍
SBF	李
SKF	杏
SFT	材
SFY	村
SVY	杒
STA	杔
SDY	杖
YNS	杗
NSI	杘
SAY	杙
STN	杚
SFG	杜
SBN	杝
SMH	杣
SIT	杪
SFQ	杬
GJI	東
JSU	杲
SJF	杳
SQW	杴
SCN	杷
SWC	杸
SWX	杹
SNY	杺
WCS	枀
SQU	枃
XXS	枈
SGG	枉
SQB	枊
SYT	枋
SWV	枌
SMF	枏
SRH	析
SPQ	枕
SSY	林
SMW	枘
SDB	枙
STY	枚
JSI	果
SFC	枝
SMQ	枧
SHK	枮
SDG	枯
SCK	枱
CKS	枲
SKW	枳
SKV	枴
SKG	枵
EKS	架
SEK	枷
SQN	枹
SAN	枻
ANS	枼
FAS	枽
SFJ	枾
SFA	枿
SHC	柀
SPX	柁
STB	柂
SUG	柆
STP	柉
SMD	柍
SWF	柎
SRG	柏
AFS	某
SAF	柑
IAS	柒
IVS	染
SVK	柖
SWK	柗
SLH	柙
SMG	柚
SJH	柛
STH	柞
SQA	柢
SRW	柣
SJG	查
SRC	柧
SAQ	柩
SXE	柪
SXJ	柫
GLI	柬
SDC	柭
SBM	柮
SSK	柯
SYG	柱
SNT	柲
SQT	柳
HXS	柴
SMA	柵
SLG	柶
SKQ	柷
SKE	柺
SYM	柿
SXY	栂
IPS	栄
SQJ	栒
SQQ	栘
SUD	栚
SUA	栟
SYW	校
SDJ	栢
SUI	栤
SUQ	栨
SNG	栩
SRI	株
SQC	栬
SWA	栰
SAW	栱
SLD	栶
SVE	根
STK	格
FSX	栽
STG	桁
SFF	桂
SQI	桃
SIG	桄
SQD	桅
VKS	桇
PVS	案
SPV	桉
UDS	桊
HJS	桌
SDF	桍
SGC	桎
SAB	桏
SFK	桔
SEG	桕
STL	桖
SBS	桗
SCT	桙
SVQ	桚
SDX	桟
SII	桫
SFP	桲
SCD	桳
SEB	桴
SEV	桵
SCE	桶
SQE	桷
SGI	梂
SSG	梄
STX	梅
SDT	梆
SUF	梓
SMY	梖
SHQ	梘
WHT	條
SIE	梢
PWC	梥
SGK	梧
TJS	梨
SVP	梫
SCW	梭
SUX	梯
SAA	械
SLS	梱
SYC	梳
SSW	梵
HKC	梷
STJ	梸
SLP	梿
YCG	棄
SRM	棉
SAD	棋
SES	棌
SJX	棍
SHD	棑
SDW	棒
SPF	棕
SDE	棖
SEE	棚
SLT	棞
SVI	棣
SQV	棦
SOO	棪
SSS	森
SGV	棲
SCC	棳
SJS	棵
BCS	棸
SPH	棺
SSP	棾
SEQ	棿
SUV	椄
SDS	椅
SHW	椇
SYK	椋
SFH	植
SWY	椎
SND	椐
SRT	椑
SVL	椔
SJJ	椙
FWM	椝
SRS	椞
SOW	椨
SOV	椩
SUO	椪
SUL	椫
SPE	椬
SBB	椰
SNK	椲
SWD	椴
SRB	椶
STI	椼
SXG	椽
SPT	楁
SSJ	楂
SMN	楇
SUT	楌
SPL	楎
SLW	楐
SLN	楒
SWT	楓
SDH	楔
SDA	楕
SVG	楗
SSN	楚
SLY	楞
SFM	楠
SNH	楣
SQR	楤
SPG	楦
SHM	楨
SKB	楫
SJQ	楬
SRF	楯
SEW	楰
SBK	極
SXX	楷
STO	楸
SBC	楹
RIS	楽
SKK	榀
SVC	概
SSL	榃
SJL	榅
SPY	榊
SVV	榋
SNU	榌
SUW	榏
SNA	榐
SXU	榒
SYV	榔
SYU	榜
SDR	榞
SPU	榟
SPJ	榠
SER	榣
SJI	榥
SCO	榪
STM	榭
SOT	榳
SQY	榴
SPW	榷
SJN	榻
SEX	榽
SME	榾
SXH	槇
SAM	構
SWN	槌
SRQ	槐
KKS	槑
SYX	槒
SRD	槔
SHJ	槕
FPD	槖
SDK	槗
SSM	槚
SNR	槢
LRS	槧
SLA	槶
SGM	槽
STW	樅
SYR	樆
SWH	樇
SXF	樌
SHL	樐
SIV	樑
SLV	樓
SVJ	樔
SON	樚
SOA	樜
SUJ	樟
SAJ	模
SAT	樥
SNI	樨
SFV	樰
SVA	樳
SJB	樶
SOG	樸
SUS	樽
STQ	橁
SRL	橅
STF	橇
SOQ	橉
STD	橋
SEP	橓
SYQ	橠
SQK	橡
SBD	橢
SAG	橫
SEU	橳
SHX	橴
SAE	橵
SRU	橷
SFU	橽
SYL	檀
SRY	檄
SFL	檑
SEA	檓
SIP	檔
SWG	檢
SFW	檣
SAP	檬
SXR	檰
SPN	檸
SAH	檻
SFD	檽
SNW	櫂
SSD	櫏
SLL	櫑
SQO	櫓
SAL	櫗
SUK	櫚
STV	櫛
SRX	櫟
SOF	櫥
SYF	櫧
SHA	櫨
SUE	櫳
SAV	櫹
SMM	櫻
SAI	欂
SAK	權
SHH	欋
SLX	欏
SAU	欗
QWU	欠
VKQ	欩
BMQ	欪
LDQ	欭
FKQ	欯
HMA	欳
QQW	欽
FFI	款
QEQ	欿
TFE	歃
JQW	歇
UVO	歉
HHG	止
GHD	正
HXN	此
HHR	步
FHN	武
HFC	歧
HHU	歨
DHG	歪
HAN	歫
HTE	歬
HOB	歯
HTG	歱
HDG	歲
HGM	歵
HXJ	歶
DTT	歷
GQI	歹
HQU	歺
GQX	死
GQM	殃
GQC	殆
GQQ	殉
GQR	殊
GQE	殍
GQD	殎
GQU	殕
GQF	殖
GQA	殘
GQB	殛
GQH	殩
GQK	殫
GQL	殬
GQP	殯
GQW	殲
WDW	段
YGW	殶
RSW	殺
NAW	殿
EFW	毀
UEW	毅
XFD	毌
TXF	毎
TXU	每
FXD	毐
GXU	毒
XXN	比
LXX	毗
TFN	毛
XXT	毞
ITT	毟
EKT	毠
JHT	毷
DAE	毻
JNT	毾
QAV	氏
NAV	民
RNJ	氘
RNM	氙
RNK	氚
RNW	氛
RNX	氟
RNT	氡
RNO	氣
RNL	氤
RNS	氥
RNU	氧
RNP	氨
RNV	氯
BII	氶
YII	氷
YNI	永
IHY	氺
IWU	氼
IVN	氿
ISH	汀
IGN	汅
ICY	汊
IKH	汌
IQY	汐
ITN	汔
IMH	汕
MIU	汖
IFH	汗
IGF	汙
INN	汜
IVG	汝
AIU	汞
IAG	江
IBN	池
IFG	汢
IQA	汦
IGA	汧
IJG	汨
IGG	汪
FJI	汬
IQU	汮
IDC	汯
IDY	汰
IRC	汳
IYH	汴
IYY	汶
ITY	汷
INW	決
ITG	汼
IRN	汽
IWV	汾
ICN	汿
INY	沁
IRH	沂
IFQ	沅
ICQ	沇
IPQ	沈
IGB	沌
IAV	沏
ISY	沐
IQC	沒
IJF	沓
IGH	沔
IXX	沘
IIT	沙
IHG	沚
IGM	沛
IIY	沝
IGS	沫
IFI	沬
IEG	沮
IPX	沱
ITB	沲
ISK	河
IXJ	沸
IMG	油
ICK	治
IVK	沼
IDG	沽
IWK	沿
IKQ	況
ILW	泅
IRW	泆
IEK	泇
ITU	泈
RIU	泉
IRG	泊
INT	泌
IBM	泏
IBE	泐
IXE	泑
IXC	泓
IAF	泔
IFC	法
ILG	泗
IGU	泙
IHX	泚
IQN	泡
IHC	波
IUG	泣
INX	泥
INV	泦
IWF	泭
INA	泯
ILF	泴
DIU	泵
IVE	泿
IYO	洂
IDO	洃
ILK	洄
IWD	洑
IRI	洙
ITA	洚
ITK	洛
TKI	洜
IPV	洝
ICT	洠
IOY	洣
IAW	洪
ITL	洫
IQI	洮
IBG	洱
IYT	洲
IUA	洴
IQJ	洵
IGC	洷
IIG	洸
IGJ	洹
ITD	活
IRE	派
IYC	流
IUD	浂
IQV	浄
IWA	浌
IUT	浐
IGI	浗
IRR	浙
IPD	浤
IKC	浥
ITF	浩
IYV	浪
IEB	浮
ITJ	浰
IWW	浴
ITX	海
IVP	浸
INK	浺
IQK	浼
IFO	浾
IMY	浿
ISE	涁
ILS	涃
IIE	消
IHH	涉
ITR	涐
IVT	涒
IKE	涓
IMW	涔
IKM	涢
IUK	涪
IPH	涫
IFU	涬
INM	涮
IDF	涯
IYW	液
IBI	涵
ILD	涸
IND	涺
IIJ	涾
IUV	淁
IVL	淄
ISR	淅
IRD	淆
IQE	淊
ISS	淋
IIM	淌
IMF	淍
IJJ	淐
IGV	淒
IFW	淕
IHJ	淖
IQR	淘
IPF	淙
IEC	淝
IOO	淡
IQG	淦
IEV	淨
IET	淫
IWY	淮
IPW	深
IYK	淳
IJX	混
IDJ	淹
IAA	淺
IGD	添
III	淼
QIU	淾
IHD	渄
IGE	清
IYJ	済
IDS	渏
IRT	渒
IQM	渙
IFT	渚
IOA	渡
IWT	渢
IFP	渤
ING	渥
IMN	渦
IMJ	測
ILE	渭
IXB	渳
IJQ	渴
IAL	渵
IHI	渺
IPL	渾
INH	湄
IGL	湅
IDW	湊
IMD	湍
IDM	湎
IKB	湒
IUE	湔
IDE	湖
IAD	湛
IHM	湞
IJM	湡
IJT	湦
ICE	湧
IUS	湭
IFM	湳
IUO	湴
IEA	湼
IMT	溄
IVC	溉
IBC	溋
IGO	溍
IOV	溏
IDR	源
IPJ	溟
IUW	溢
ICO	溤
IFS	溨
IUF	溬
IUB	溯
IEH	溲
IRV	溵
IXU	溺
IJN	溻
IGX	溼
IRQ	溾
ILU	溿
IBW	滁
IWC	滃
IJI	滉
IUX	滋
IWH	滌
IBH	滍
IWR	滏
IME	滑
IPU	滓
IEE	滔
IER	滛
IYN	滬
IAQ	滯
ICC	滲
IYU	滴
IHL	滷
IAM	滿
IQO	漁
ISF	漂
IVJ	漅
ISW	漆
ION	漉
ILV	漊
IBT	漋
ITW	漎
INF	漏
IXK	漒
INR	漝
IIP	漟
IAJ	漠
ILP	漣
IQT	漪
IJL	漫
ILX	漯
IGK	漱
IXD	漲
IMP	漴
ILR	漸
INI	漽
XID	潁
IMU	潂
IUM	潎
IWX	潑
IDH	潔
IRL	潕
ITO	潘
IVF	潚
IEQ	潟
IUY	潣
ISO	潥
IUL	潧
ISJ	潭
IFJ	潮
IVA	潯
ITI	潲
IAE	潵
ITV	潷
INB	潺
IOQ	潾
ILN	潿
IVY	澀
IFK	澎
IUJ	澗
IXG	澠
IKK	澡
IMA	澧
IUQ	澬
IOG	澲
ITM	澳
IYL	澶
IQD	澹
IRY	激
ILQ	濁
IOU	濂
IHW	濉
IHN	濎
IPN	濘
IAP	濛
IVH	濜
IFD	濡
IFN	濤
IQP	濥
IAH	濫
IHP	濬
IWO	濮
IXW	濰
IPG	濱
IIA	濷
IRX	濼
IHA	濾
IDA	濿
IFL	瀆
INP	瀈
IPE	瀉
IPT	瀋
IOJ	瀍
IJA	瀑
IDT	瀝
IBD	瀡
IHQ	瀣
IAO	瀳
IMM	瀴
IOL	瀵
INL	瀷
IPA	瀽
IUR	灁
IEL	灂
IBB	灄
ILL	灅
IAK	灌
IUU	灍
IYR	灕
IOS	灖
IJY	灝
IFA	灞
IAU	灡
IYX	灣
RIR	灥
OOO	火
OQB	灮
DOU	灰
OVT	灱
OJH	灲
OAG	灴
OFG	灶
OAJ	灷
QYO	灸
OTA	灹
OBN	灺
OQY	灼
VOU	災
WVO	炃
JOU	炅
OYY	炆
OQW	炊
ORC	炍
OOU	炎
OOY	炏
OSY	炑
OIT	炒
AOU	炗
ORH	炘
QOU	炙
JOY	炚
OYH	炞
OLH	炠
OGH	炡
OXJ	炥
ODC	炦
OTB	炧
OPX	炨
OBM	炪
OYX	炫
OAN	炬
MDO	炭
OMK	炯
QNO	炰
CKO	炱
OCK	炲
OMD	炴
OYG	炷
OTH	炸
ODG	炻
OKQ	炾
OTU	烀
OTL	烅
GAO	烎
OTE	烐
OAA	烒
DGO	烕
FOX	烖
OAW	烘
OTK	烙
OPT	烢
ODO	烣
OFT	烤
ORD	烯
OEB	烰
OMW	烱
RRO	烲
OGV	烴
OPF	烷
OTX	烸
OTD	烽
OOF	烾
OMY	烿
OFO	焃
OKE	焆
OIE	焇
GHG	焉
OCW	焌
OGK	焐
OLS	焑
OWY	焓
OQH	焔
ONN	焗
OUK	焙
SSO	焚
UOI	焛
OJX	焜
OPW	焢
BCO	焣
OPQ	焥
WYO	焦
OJE	焨
OEE	焩
OJQ	焬
OHJ	焯
OYC	焴
OMU	焵
QDY	然
JJO	焸
OJT	焺
OJJ	焻
OFA	焼
JEO	焽
ODF	煃
OWD	煅
OPL	煇
OWT	煈
OGL	煉
OPG	煊
ONK	煒
OSF	煙
HHO	煛
OJU	煜
QVT	煞
OLE	煟
OAF	煤
OQM	煥
JVK	照
ODM	煩
OUS	煪
VGQ	煭
OMN	煱
OFM	煵
OYN	煽
OLD	煾
OJI	熀
ORN	熂
OLW	熅
OKM	熉
OUW	熌
OPK	熍
OER	熎
OPJ	熐
AHK	熙
ONR	熠
ONU	熤
OCE	熥
OIW	熦
OTQ	熪
OOA	熫
GQT	熬
XOD	熲
OJL	熳
OYU	熵
OJB	熶
OUL	熷
OVF	熽
OUJ	熾
OSJ	燂
OQD	燃
QEO	燄
OWG	燈
ODU	燎
OOQ	燐
OFF	燒
OTO	燔
AKU	燕
OVA	燖
OUY	燘
OUN	燜
OJY	燝
OTM	燠
OKK	燥
OHQ	燦
ORY	燩
OEA	燬
OLQ	燭
OEP	燰
OJV	燳
OFU	燵
OMA	燶
OTG	燻
OFN	燽
OJA	爆
OVL	爉
ORX	爍
OPD	爎
ODT	爏
OHA	爐
OUQ	爓
OOG	爜
OEL	爝
OHH	爠
OIP	爣
OAU	爤
OSR	爩
RHY	爬
EVH	爭
EMF	爯
ELV	爵
WRU	父
WRC	爸
WRQ	爹
WRB	爺
RRU	爻
DRR	爽
GWM	爾
THG	片
AHT	牙
TGK	牛
TXN	牝
CTG	牟
TFG	牡
PTG	牢
TVY	牣
TTF	牦
TTY	牧
TYW	牨
TQR	物
TAY	牫
TLG	牭
TDG	牯
TSK	牱
TTG	牲
TXY	牳
TQA	牴
UDT	牶
TPB	牸
YXP	牽
NIT	犀
TUK	犃
TDS	犄
TGT	犇
TUD	犈
THW	犋
TTU	犐
TRN	犔
TAT	犕
TPD	犗
TCC	犙
XKJ	犟
TVL	犣
TLC	犤
TUG	犧
TUT	犪
DCY	犮
QTB	犯
QTC	狁
QTG	狂
QTO	狄
HDY	狊
QTR	狐
QTX	狒
QTQ	狗
QTE	狙
QTV	狠
QTY	狼
QTI	猀
QTT	猁
JED	猒
QTJ	猖
QTW	猴
QTU	猶
QTS	猹
QTM	猾
QTL	獨
QTP	獰
QTA	獲
YXU	玄
YXY	玆
YXI	率
GYI	玉
GGG	王
GSH	玎
GET	玏
GAG	玒
GFH	玕
GQY	玖
GGF	玗
GWC	玜
GFW	玞
GYY	玟
GWJ	玠
GWV	玢
GYH	玣
GDH	玤
GNW	玦
GCQ	玧
GFQ	玩
GTY	玫
GWB	玱
GWY	玲
GWA	玳
GAN	玴
GAF	玵
GGU	玶
GHK	玷
GQN	玸
GYX	玹
GHC	玻
GHX	玼
GLH	玾
GVK	玿
GRG	珀
GSK	珂
GCK	珆
GEK	珈
GNA	珉
GMM	珊
GWE	珍
GVG	珒
GYW	珓
GIG	珖
GTE	珘
GAW	珙
GLD	珚
GUG	珜
GNG	珝
GTK	珞
GRI	珠
GVE	珢
GRM	珤
GBG	珥
GTM	珦
GTG	珩
GFF	珪
GDG	珬
GYT	班
GFT	珯
GIV	珰
GYE	珳
GTR	珴
GUX	珶
GGK	珸
GTX	珻
GMY	珼
GHQ	現
GTN	琁
GKE	琄
GJF	理
GTB	琇
GEB	琈
GYC	琉
GAH	琊
GTJ	琍
GFJ	琎
GIE	琑
GTD	琒
GPG	琔
GRT	琕
GAA	琖
GND	琚
GPW	琛
GSW	琜
GGE	琢
GUK	琣
GHA	琥
GDS	琦
GJX	琨
GJJ	琩
GAD	琪
GDW	琫
GPQ	琬
GVI	琭
GPF	琮
GPH	琯
GOO	琰
GSS	琳
GGW	琴
GGX	琵
GGC	琶
GHJ	琸
GGS	琹
GIF	琺
GQG	琻
GLW	琾
GPL	琿
GJT	瑆
GCN	瑈
GNK	瑋
GNH	瑕
GWD	瑖
GEG	瑗
GBB	瑘
GVT	瑙
GDE	瑚
GAM	瑛
GWG	瑜
GMD	瑞
GGN	瑟
GWN	瑡
GIM	瑣
GJL	瑥
GGO	瑨
GCO	瑪
GOV	瑭
GYV	瑯
GRQ	瑰
GPR	瑸
GIP	瑺
GXF	瑻
GGJ	瑼
GTW	瑽
GAK	瑾
GTL	璁
GYR	璃
GVJ	璅
GGQ	璈
GLP	璉
GUJ	璋
GRL	璑
GAT	璓
GUL	璔
GIA	璖
GOQ	璘
GOG	璞
GJY	璟
GTO	璠
GXX	璣
GAQ	璥
GRY	璬
GYL	璮
GLG	環
GFN	璹
GYU	璾
GHP	璿
GFD	瓀
GLL	瓃
GRX	瓅
GRR	瓆
GTQ	瓈
GBD	瓍
GUE	瓏
GDT	瓑
GYK	瓖
GTF	瓚
RCY	瓜
GNN	瓦
YGN	瓬
PQG	瓭
DGN	瓳
CKG	瓵
UAG	瓶
DCG	瓺
UKG	瓿
TOG	甃
LVG	甊
AFD	甘
TDA	甜
TGD	生
YDT	產
EHK	用
ENV	甩
GEH	甫
DHE	甭
PNE	甯
LLL	田
LHN	甲
JHK	申
LER	男
QLD	甸
MGN	甹
LSH	町
LSJ	甼
LKH	甽
VLF	甾
LYN	甿
LQY	畂
YLC	畆
LQU	畇
LRC	畈
LFW	畉
LTY	畋
LWJ	界
