aaa	葡萄牙
ixp	3
ixr	3
ixt	小组第一
ixv	3
ixw	小组会
ixx	沘
iya	游艺
iyb	游子
iyc	鎏
iyd	兴衰成败
iye	㵝
iyf	流域
iyg	游击
iyh	流言蜚语
iyi	滚滚
iyj	浏览
iyk	小商品
iyl	澟
iyn	瀛
iyo	江主席
iyp	注定
iyq	温文尔雅
iyr	深刻的
iys	常设机构
iyt	游
iyu	滂
iyw	淤
iyx	滀
iyy	深刻认识
jac	3
jad	师范大学
jaf	暴雨
jag	归功于
jai	师范学院
jaj	蟆
jak	虹口
jal	蠴
jam	暪
jan	昛
jap	曚
jas	日薄西山
jat	暴行
jau	3
jav	蠨
jaw	蛊惑人心
jax	3
jbc	最难
jbd	时隔不久
jbe	朂
jbf	最坏
jbg	电子琴
jbi	电子学
jbj	时隐时现
jbm	曓
jbn	最迟
jbr	电子技术
jbs	3
jbt	最短
jbu	电子部
jbw	电子信息
jby	最为
jcb	3
jcf	竖起
jch	3
jci	3
jco	3
jcp	坚实
jcr	紧缺
jct	坚称
jcu	紧凑
jcv	3
jcw	紧邻
jcx	坚强
jcy	3
jda	曞
jdb	最大限度
jde	䗅
jdf	明确规定
jdg	蛎
jdh	暳
jdj	蝴蝶
jdk	3
jdl	3
jdm	蝡
jdn	晠
jdo	3
jdp	3
jdq	3
jdr	明确的
jds	明码标价
jdt	明确答复
jdu	蟟
jdv	3
jdw	螓
jec	3
jed	盟友
jeg	暖
jei	日月潭
jej	明晰
jel	㬭
jeo	明灯
jep	曌
jeq	蜺
jer	电脑技术
jet	暖和
jeu	电脑总公司
jew	电力供应
jey	明朗
jfa	时节
jfc	墅
jfd	里面
jff	旱地
jfg	时事
jfh	虷
jfi	时尚
jfj	早日
jfk	野味
jfn	旱情
jfo	㬨
jfp	时宜
jfq	里外
jfr	时势
jft	里程
jfu	时差
jfw	时候
jfy	时刻
jgd	旺盛
jge	晡
jgf	时来运转
jgg	是一致的
jgh	匙
jgj	早来晚走
jgk	曧
jgl	师团
jgm	昁
jgn	3
jgo	㬐
jgp	晴空
jgq	昜
jgt	旺季
jgu	暗下决心
jgv	㫸
jgw	师父
jgx	蝳
jgy	晴朗
jha	曥
jhd	㫵
jhe	冒用
jhf	冒进
jhg	㫔
jhh	蠷
jhj	申明
jhk	监督员
jhl	3
jhm	申购
jhn	曰
jhp	虫灾
jhq	畃
jhs	畅想
jht	毷
jhu	监督站
jhv	3
jhw	畅叙
jhy	申诉
jib	3
jih	3
jii	3
jik	3
jil	3
jin	3
jip	蟐
jiq	3
jis	3
jiv	3
jiw	㬁
jix	3
jja	电影节
jjb	电影院
jjd	昌盛
jjf	日趋
jjg	蛳
jjh	蝐
jji	曝光
jjj	日照
jjk	蚂蚁啃骨头
jjl	明显转变
jjm	电影周
jjn	电影剧本
jjp	暥
jjq	日销
jjr	明显提高
jjs	电影票
jjt	昌乐
jju	日美
jjw	日化
jjx	蜫
jjy	日记
jka	3
jkb	3
jkd	3
jkf	3
jkg	冔
jkk	䗭
jkl	3
jkn	3
jko	3
jkp	3
jku	3
jkw	3
jkx	3
jlb	3
jlf	曙
jlg	蠉
jlj	3
jlm	3
jln	3
jlo	3
jlp	3
jlu	3
jlv	3
jlw	归国创业
jlx	曪
jly	㬅
jmf	晭
jmg	日内瓦
jmh	帅
jmi	3
jmj	映照
jmk	3
jml	3
jmn	3
jmo	3
jmv	3
jmw	蠵
jmx	3
jnd	电厂
jnf	电场
jng	愚民政策
jnh	蝞
jni	电流
jnj	时快时慢
jnk	暐
jnn	㬆
jno	电炉
jnp	电容
jnq	电钮
jnr	电热
jns	电极
jnt	䖩
jnw	电传
jnx	电线
jny	电离
joa	蟅
jod	3
joe	3
jof	显赫
jog	曗
joj	时断时续
jok	3
jol	3
jom	3
joo	䗊
jop	3
joq	暽
jot	显微
jou	蠊
jov	㷖
jow	3
jox	3
joy	临床试验
jpa	电视艺术片
jpd	电视大赛
jpe	3
jpf	紧密地团结
jpg	蝖
jpj	电视电话
jpl	电视连续剧
jpn	监察局
jpo	蜂窝煤
jpp	3
jpr	坚定的信心
jps	紧密配合
jpt	电视系列片
jpv	㫨
jpw	晕倒
jpy	电视记者
jqa	晨钟暮鼓
jqd	紧急磋商
jqe	蜭
jqg	日久天长
jqh	遏止
jqi	晀
jqj	星岛日报
jqk	煦
jqm	㬇
jqn	蚫
jqo	䗇
jqq	昂然
jqr	最多的
jqt	歇息
jqu	昂首
jqw	曷
jqx	3
jqy	虳
jra	3
jrc	蛌
jrd	坚持原则
jrg	最后一次
jrh	螔
jrj	3
jrk	3
jrn	暣
jro	3
jrr	晣
jru	最后决议
jrv	3
jrw	畅所欲言
jsa	3
jsc	3
jsf	日本朝日新闻
jsg	归根到底
jsi	果酒
jsj	蟫
jsm	3
jsp	日本军国主义
jss	果木
jsv	3
jta	虴
jtd	蛞
jte	临县
jtf	最先进的
jtg	曛
jth	蚱
jti	临汾
jtj	临时
jtk	临别
jtl	螕
jtm	䖮
jtn	㫓
jto	星座
jtp	蜂窝
jtq	景德镇
jtr	临近
jts	最重要
jtt	临行
jtu	星移斗转
jtw	晚秋作物
jty	鉴
jub	坚决防止
juc	3
jud	日益丰富
jue	曨
juf	日益增多
jug	蜣
jui	暗淡
juj	暗暗
juk	时间跨度
jul	㬝
jum	3
jun	日益改善
jur	日益提高
jut	日益复杂的
juu	昂首阔步
jux	坚决纠正
juy	最新调查表明
jvd	最好成绩
jve	螁
jvf	蟰
jvg	归于
jvi	曃
jvj	晚婚晚育
jvk	归口
jvm	3
jvo	归类
jvp	㫶
jvq	3
jvr	照抄
jvs	归档
jvt	照片
jvv	3
jvw	归途
jwc	昖
jwd	坚信不移
jwf	电化教育
jwg	蜍
jwh	䗛
jwi	最低水平
jwl	3
jwm	3
jwn	螐
jwp	3
jwq	3
jwr	䗄
jws	3
jwt	明信片
jwv	蛜
jwy	蛉
jxd	坚强不屈
jxg	蝝
jxj	昲
jxk	3
jxl	3
jxo	3
jxs	3
jxu	坚强意志
jxv	3
jxx	歞
jyb	影子
jyc	㬚
jyd	イ
jyf	蠩
jyg	时刻表
jyi	い
jyj	蝙蝠
jyk	晾
jym	最高峰
jyn	电话局
jyp	时刻牢记
jyq	电话银行
jyr	螭
jys	最高标准
jyt	蝣
jyu	最高奖
jyv	㫰
jyw	最高人民法院
jyx	最高纪录
jyy	电话交换机
kaa	中医药管理局
kac	3
kad	哈萨克斯坦
kah	囕
kaj	唶
kak	中共中央政治局委员
kam	嗊
kan	呭
kao	3
kaq	㖴
kar	哄抢
kat	听其自然
kau	中共北京市委书记
kav	3
kaw	嗒
kba	3
kbb	吸附
kbd	3
kbg	吸毒
kbi	㖤
kbj	3
kbl	3
kbn	吸收
kbp	3
kbt	3
kbv	3
kbw	3
kbx	吸纳
kca	3
kcc	唱对台戏
kcd	3
kce	㗈
kcf	3
kcg	串通一气
kch	3
kci	3
kcl	3
kcm	3
kcn	㖻
kcr	3
kcs	3
kct	叹息
kcv	3
kcx	3
kde	哊
kdf	只不过
kdg	喴
kdh	呸
kdj	咟
kdm	喕
kdn	㕱
kdo	顺应
kdr	路不拾遗
kds	3
kdt	中顾委
kdu	噘
kdv	3
kdw	顺便
kdy	只有这样
kee	㗖
kef	喝彩声
keg	喛
kej	别是
kek	咀嚼
kem	3
keo	㘀
keq	别名
ker	另据
ket	别处
keu	3
kfa	跨越式发展
kfb	别无出路
kfc	呍
kfe	3
kff	吐露
kfg	鄙夷
kfh	唗
kfi	喷洒
kfj	唯才是举
kfk	嘭
kfo	另起炉灶
kfp	嚏
kfr	中老年人
kft	哮
kfu	哭丧着脸
kfw	别无他法
kfx	3
kgb	呈现出
kgd	顺理成章
kge	吴县
kgf	足球场
kgg	呈现
kgj	㖦
kgk	唔
kgm	听天由命
kgn	咓
kgp	忠于祖国
kgq	号角
kgr	呈报
kgt	号称
kgv	啑
kgw	吓倒
kgy	吁请
kha	躇
khb	路子
khc	跆
khd	跋
khe	啃
khf	趺
khg	遣
khh	踔
khi	中法
khj	踝
khk	跟踪
khl	中国
khm	跚
khn	跽
kho	蹼
khp	蹿
khq	跪
khr	中的
khs	︹
kht	踽
khu	踯
khv	躐
khw	跺
khx	呲
khy	踉
kia	3
kib	3
kic	3
kid	鄂温克
kii	中小学校
kil	3
kin	3
kio	3
kiq	3
kir	顺水推舟
kit	中学生
kiv	3
kiw	㘍
kix	3
kiy	3
kjd	3
kje	唱腔
kjf	嘢
kjg	㖷
kjo	3
kjp	3
kjq	顺时针
kju	喅
kjv	3
kjw	3
kkb	郘
kkc	串通
kkd	嚣
kke	哵
kkf	颚
kkg	吃喝玩乐
kkh	器具
kki	顺口溜
kkk	噪
kkl	口罩
kkm	
kkn	咄咄怪事
kkp	口福
kkq	口外
kkr	踊跃报名
kks	品格
kkt	串行
kku	口头
kkw	口令
kky	品评
kla	中国工商银行
kld	中国历史
klf	中国专利局
klg	中国政府
kli	中国汽车工业联合会
kll	中国国际贸易促进委员会
kln	中国民主同盟
klp	中国农工民主党
klq	啰
klt	中国特色
klw	中国人民银行
klx	中国统配煤矿总公司
kly	中国文学
kma	中央工作会议
kmd	啱
kme	中央办公厅
kmf	中央直属机关工作委员会
kmg	中央政治局
kmi	中央党史研究室
kmk	吊唁
kml	中央国家机关工作委员会
kmn	喎
kmp	中央军委主席
kmq	吊销
kmr	喘气
kmt	喘息
kmu	中央决定
kmv	3
kmw	呙
kmx	中央组织部
kmy	中央文献研究室
kna	吃尽苦头
knb	噉
kne	3
knf	叫声
kng	喔
knh	吜
knk	另辟蹊径
knn	噀
knp	3
knr	㗩
kns	3
knt	跃居第一
knw	中心任务
knx	叫绝
kny	唯心论
koa	嚝
koc	3
kod	3
koe	3
kof	3
kog	㗼
koj	3
kok	3
kol	3
kom	3
kon	3
koo	㘇
kor	3
kos	嚤
kot	3
kou	3
kow	3
kox	3
kpa	㘔
kpb	3
kpc	3
kpg	㗌
kph	3
kpi	3
kpj	3
kpk	鸣冤叫屈
kpm	3
kpo	3
kpp	3
kpr	3
kpt	哰
kpu	嘘寒问暖
kpw	听之任之
kpy	3
kqd	嘫
kqg	鸣锣开道
kqh	3
kqi	咷
kqk	哆嗦
kql	3
kqo	3
kqr	唿
kqt	兄长
kqw	吻合
kqy	吹遍
krd	顺手牵羊
krg	喤
krh	嗁
kri	史学
krj	3
krl	3
krm	嚹
krr	另据报道
krt	哄抬物价
krv	3
krw	中年人
kry	史诗
ksb	3
kse	3
ksg	呠
ksk	叮咛
ksn	3
kso	3
ksq	3
kss	呆板
kst	3
ksx	3
kta	吃苦
ktd	嘺
ktf	顺利进行
ktg	只身来到
kth	咋
kti	嗅觉
ktj	唎
ktk	呼叫
ktn	顺利发展
kto	跨行业
ktp	路透社
ktq	吃饱
ktr	吹牛拍马
ktt	吃香
ktu	唯物辩证法
ktw	中和作用
kty	响亮
kua	3
kuc	3
kud	啳
kuf	嗴
kug	咩
kuj	噇
kul	啴
kum	3
kun	
kuo	3
kur	3
kus	中关村科技园区
kut	喭
kuv	嗛
kuw	唥
kux	㘂
kvb	3
kvc	嘅
kvj	3
kvl	3
kvm	3
kvq	3
kvs	3
kvu	3
kvv	3
kvx	3
kvy	3
kwb	只限
kwc	吺
kwd	只顾
kwe	路途遥远
kwf	哙
kwg	噔
kwj	吤
kwk	喉咙
kwn	中华民族
kwo	3
kwq	哗然
kwr	㕮
kws	只要
kwt	只身
kwu	中俄关系
kwv	只好
kww	中华人民共和国主席
kwx	吪
kwy	唯
kxa	3
kxc	3
kxd	3
kxf	3
kxg	嚩
kxl	3
kxo	3
kxp	3
kxs	3
kxv	3
kxw	㖎
kxx	吡
kyd	3
kye	3
kyh	3
kyk	嚎
kyn	唳
kyo	3
kyp	3
kyt	只言片语
kyu	忠言逆耳
kyw	啐
kyx	噰
kyy	听说读写
laa	輚
lac	3
lae	3
lak	爴
lan	3
lao	轻工业产品
las	3
lat	3
lau	轥
lav	3
law	輁
lba	国际劳动妇女节
lbd	国际友人
lbf	国防教育
lbg	国际形势
lbi	男子汉
lbk	3
lbn	国际惯例
lbq	国际象棋
lbs	国际歌
lbt	国防科工委
lbu	国防部
lbw	国际合作
lbx	国际比赛
lby	国际交往
lca	轻巧
lcb	轰隆
lcc	轻骑
lcd	Γ
lcf	轻者
lch	3
lci	α
lck	軩
lcl	轻轨
lcn	畏难情绪
lcr	3
lct	轻微
lcu	3
lcv	3
lcw	轻信
ldb	转达了
ldc	䡌
ldd	国有大中型企业
lde	恩爱
ldf	略有增加
ldg	因素
ldh	囨
ldi	黑龙江省
ldj	因果
ldk	3
ldl	3
ldm	輭
ldn	恩情
ldp	固安
ldq	欭
lds	輢
ldt	轣
ldu	软硬兼施
ldv	3
ldw	国有企业改革
ldy	畎
leb	男队
lee	轁
lef	㽟
leg	罝
leh	3
lei	3
lej	3
lem	3
leo	3
lep	3
ler	㘥
les	3
let	男篮
lex	3
lfa	围攻
lfb	转子
lfc	黑马
lfd	四十三
lfe	置办
lff	园地
lfg	四十五
lfh	转眼
lfi	黑洞
lfj	黑影
lfk	转口
lfl	围困
lfm	黑山
lfn	转发
lfo	默
lfp	䡹
lfq	署名
lfr	黑白
lfs	转机
lft	转移
lfu	回过头来
lfv	四十九
lfw	黑人
lfx	转给
lfy	转为
lgb	国防
lgc	畏难
lgd	国大
lge	圃
lgf	国都
lgg	国画
lgh	囸
lgi	罪恶滔天
lgj	罪恶昭彰
lgk	睘
lgl	国界
lgm	輌
lgn	国民
lgo	国度
lgp	国宝
lgq	軏
lgr	车把
lgs	国格
lgt	国籍
lgu	车站
lgw	国人
lgx	3
lgy	国事访问
lhb	3
lhd	四百
lhf	罪过
lhg	四平
lhh	3
lhl	3
lhn	皿
lho	3
lhq	四角
lhr	3
lht	四千
lhv	3
lhw	圆桌会议
lia	3
lib	3
lid	因小而失大
lih	3
lik	3
lil	3
lim	3
lio	3
lip	疂
liv	3
ljb	3
ljc	3
ljd	3
lje	3
ljf	3
ljg	輰
ljh	3
lji	3
ljj	3
ljk	3
ljl	辒
ljm	3
ljn	3
ljo	3
ljr	3
ljt	3
ljv	3
ljw	3
ljy	3
lka	回敬
lkc	3
lkd	回春
lkf	回声
lkg	圆形
lkh	回眸
lki	回流
lkk	回响
lkl	圆圈
lkm	圆周
lkn	回避
lkr	回执
lkt	回复
lku	回音
lkv	3
lkw	四中全会
lky	回旋
lla	3
llb	轰轰隆隆
llc	3
lle	3
llf	轻轻地
llg	轰轰烈烈
lli	3
lll	逻辑思维
llm	3
llo	3
llq	3
llw	轀
llx	3
lly	圐
lma	3
lmc	3
lmd	Γ
lme	3
lmf	輖
lmg	略见一斑
lmh	䚑
lmi	3
lmj	3
lmk	3
lml	3
lmm	3
lmo	3
lmp	3
lmq	国内贸易
lmr	3
lms	3
lmu	国内首创
lmv	3
lmw	㽯
lmx	γ
lna	国民警卫队
lne	3
lnf	回忆起
lng	辅导班
lnk	䡶
lnm	3
lnn	囻
lno	3
lnu	图书资料
lnw	疁
lnx	思绪
lob	3
loc	3
loe	3
loi	3
lok	3
lol	3
lom	3
loo	3
lor	3
los	3
lot	3
lov	3
low	3
lox	3
loy	3
lpa	国家医药管理局
lpc	国家预算
lpd	置之不理
lpe	置之脑后
lpf	国家规定
lpg	连带
lpi	国家测绘局
lpk	国家另有规定
lpl	畹町
lpm	国家财产
lpn	连忙
lpp	国家安全部
lpq	国宾馆
lpr	国家技术监督局
lps	国家权力
lpt	国家重点
lpu	固定资金
lpv	国家建筑材料工业局
lpw	连任
lpx	国家经贸委
lpy	国家主席
lqa	軝
lqb	3
lqf	㝶
lqh	3
lqj	斀
lql	䡘
lqp	因名额有限
lqq	䡔
lqr	黯然失色
lqs	3
lqu	黑名单
lqv	3
lqw	软化
lqy	转危为安
lrc	罛
lrd	磛
lrf	暂无
lrh	覱
lrj	黑白电视机
lro	3
lrt	暂告
lrw	暂住
lry	3
lsa	恩格斯
lsb	3
lse	3
lsf	黔西南
lsg	思想政治觉悟
lsi	思想混乱
lsl	3
lsm	3
lsn	3
lso	3
lst	3
lsu	思想道德素质
lsw	思想修养
lsy	因材施教
lta	3
ltb	国务院总理
ltd	四处奔波
lte	輈
ltf	軞
ltg	置身于
lti	国务活动家
ltk	车牌号
ltl	罪行累累
ltm	因特网服务提供者
ltn	图片展
ltp	田径赛
ltq	图解
ltr	因私护照
ltt	略微
ltu	国务部长
ltw	国务会议
ltx	畮
lty	回答记者提问
luc	3
lud	圏
luf	3
lug	轙
lui	3
luj	罯
lul	㽪
lum	3
lun	3
luo	3
lup	3
luq	3
lut	轻音乐
lva	3
lve	3
lvf	男女老少
lvh	3
lvi	3
lvm	3
lvo	3
lvq	3
lvr	3
lvs	3
lvv	3
lvx	3
lwb	轮子
lwc	撃
lwd	因人而异
lwe	轮胎
lwg	软件开发
lwh	3
lwi	输液
lwj	四个坚持
lwl	软件园
lwm	3
lwn	软件展览会
lwo	固体燃料
lwp	团体冠军
lwr	输掉
lwt	轮船
lwu	输送
lww	輍
lwx	界线
lwy	国会议员
lxa	3
lxd	连续不断
lxf	累进
lxg	团结与合作
lxi	软弱涣散
lxj	3
lxm	3
lxo	3
lxp	3
lxr	3
lxs	3
lxt	团结和带领
lxv	3
lxw	团结合作
lxx	团组织
lya	3
lyd	图谋不轨
lyf	较远
lyg	軴
lyh	3
lyj	较早
lym	3
lyn	甿
lyo	3
lyq	男主角
lyr	䍠
lys	3
lyt	较重
lyu	䍤
lyv	䡙
lyw	回旋余地
lyx	圝
maa	曲艺
mac	3
mad	内蒙古
mae	3
maf	䝸
mag	艶
maj	㟙
mal	3
mam	同工同酬
man	岠
mao	3
map	典礼
maq	嶜
mas	3
mat	迪斯科
mav	3
maw	敟
may	㟐
mba	3
mbc	3
mbe	3
mbf	3
mbg	同出一辙
mbh	郥
mbl	3
mbn	邮戳
mbo	3
mbq	㟹
mbt	嶐
mbv	3
mcc	㠁
mce	3
mcf	3
mch	3
mcj	3
mcl	3
mcn	3
mco	3
mcp	3
mcq	3
mcr	3
mct	3
mcu	3
mcv	3
mcx	3
mdc	3
mde	峟
mdf	崖
mdg	央求
mdh	岂有此理
mdi	岩洞
mdk	3
mdm	贿赂
mdn	岂不怪哉
mdp	央视
mdq	䒋
mdr	㟲
mds	㟢
mdt	见不得人
mdu	嶛
mdv	3
mdw	賰
mea	䯦
mec	3
med	骨灰
mee	剻
mef	骨干
meg	嵈
meh	髗
mej	䯜
mem	骨肉
men	䯌
mep	髌
meq	骲
mer	骺
met	财力物力
meu	髊
mev	㟎
mew	骪
mex	䯚
mey	髇
mfb	3
mfd	冄
mfe	骨干力量
mff	周刊
mfg	周到
mfh	巅
mfi	周游
mfj	3
mfk	周口
mfl	财团
mfn	䎃
mfo	3
mfp	财神
mfq	崁
mfr	周折
mft	财务
mfu	崭露头角
mfv	3
mfw	财会
mfy	赋诗
mga	由于某种原因
mgc	峌
mgd	由下而上
mge	同胞
mgf	财政赤字
mgg	财政政策
mgh	同龄
mgi	同党
mgj	同盟
mgk	戙
mgn	同情
mgo	同业
mgp	贩毒案
mgq	财政负担
mgr	财政年度
mgs	同档
mgt	由于种种原因
mgu	财政部
mgw	峡谷
mgx	同乡
mha	网上营销
mhb	由此及彼
mhc	帊
mhd	由此而
mhe	㡥
mhf	帐款
mhg	由于
mhh	帔
mhi	㠺
mhj	幔
mhk	帜
mhn	贝
mho	贝类
mhp	帵
mhq	㡄
mhr	贴近
mhs	帐本
mht	帐篷
mhu	帐单
mhw	同龄人
mhy	网上交易
mib	3
mic	3
mih	3
mil	3
mio	3
miq	3
mir	3
mis	3
miw	巀
mix	3
miy	3
mjd	囬
mje	3
mjg	崵
mjh	赗
mjk	3
mjl	3
mjq	嵑
mjr	3
mjs	3
mjy	3
mka	3
mkc	3
mke	3
mkf	3
mkj	3
mkk	嵓
mkl	3
mkm	3
mkn	3
mko	3
mks	3
mkt	3
mkv	3
mkx	3
mky	3
mla	3
mlb	3
mlc	3
mle	3
mlf	3
mlg	嵔
mlh	㠑
mli	3
mlm	3
mlo	3
mlp	3
mlq	3
mls	3
mlt	3
mlx	3
mly	3
mma	删节
mmb	崎岖险阻
mmc	3
mmd	㟨
mme	山腰
mmf	山坡
mmg	删
mmi	山河
mmk	山口
mml	3
mmm	崇山峻岭
mmq	鑍
mmr	山泉
mms	山顶
mmu	删减
mmv	䨉
mmw	山风
mmy	岗亭
mnb	崛
mnd	崌
mnf	嶎
mng	㟃
mnh	岂止
mnm	峨眉山
mnn	同情心
mnp	3
mnu	3
mnw	觊觎
mny	同性恋
mob	3
moc	3
mod	3
moe	3
mof	賍
mog	贌
moh	3
moi	3
moj	3
mok	3
mol	3
mom	3
mop	3
mor	3
mov	嵻
mox	3
moy	3
mpc	3
mpd	贮存
mpe	3
mpf	賩
mph	3
mpi	山穷水尽
mpm	3
mpn	3
mpr	同室操戈
mps	3
mpt	㟉
mpu	周密部署
mpw	财神爷
mpy	赈灾义演
mqa	嵥
mqb	觃
mqd	迥然不同
mqe	嶰
mqg	岁末
mqi	3
mqj	賯
mqk	巉
mqn	翙
mqp	3
mqq	内外勾结
mqs	3
mqt	见长
mqu	赡养
mqx	3
mqy	见证
mrb	嵏
mrd	网友
mre	3
mrf	贩卖
mrg	贩毒
mrh	网点
mri	网游
mrj	网易
mro	3
mrq	㟴
mrr	羀
mrs	3
mru	刚毅
mry	3
msb	3
msc	3
mse	3
msg	3
msh	3
msl	3
msm	3
msn	3
mso	3
msp	3
msu	3
msx	3
mtd	见物不见人
mtf	败露
mth	岞
mtk	峈
mtm	嶶
mtn	败局
mtr	财务报表
mtt	财务科
mtu	内务部
mtv	嵂
mtw	贬低
mty	见利忘义
mua	䑃
mue	贚
muf	赠款
mug	内部事务
muh	3
mui	3
muk	嵜
mul	嶒
mum	3
muq	胊
mus	同病相怜
mut	嵼
muu	膧
muv	嵰
muw	网站信息
mux	财产继承
mva	3
mvb	3
mvc	3
mvd	3
mvf	3
mvh	3
mvj	3
mvm	3
mvn	3
mvo	3
mvp	3
mvq	3
mvs	3
mvu	3
mvv	3
mvw	3
mvx	3
mvy	岃
mwa	内蒙
mwd	内耗
mwe	䝩
mwf	岗位培训
mwg	内政
mwh	峜
mwi	内河
mwk	冏
mwm	朙
mwn	内情
mwp	岗位补贴
mws	3
mwt	内向
mwu	内阁
mwv	嶌
mww	内含
mwx	㟆
mwy	岑
mxb	3
mxc	3
mxd	3
mxf	网络教育
mxm	3
mxn	3
mxo	3
mxs	3
mxt	网络知识
mxu	嵶
mxx	财经纪律
mya	䵊
myg	崇高事业
myh	3
myi	3
myj	峕
myk	崇高品质
myl	3
myn	峐
myp	3
myq	3
myr	崇高的理想
mys	3
myu	嵭
myw	峧
naa	民营
nad	愖
nae	民用
naf	民进
nag	改革开放
nah	㤉
nai	民法
naj	惜
nak	民革中央
nal	民国
nam	愩
nan	民情
nao	3
naq	憯
nar	改革措施
nas	异样
nat	民航
nau	惬意
nav	心花怒放
naw	民众
nax	慌张
nay	民主
nbb	那阵子
nbd	屈辱
nbg	以防万一
nbi	3
nbj	3
nbl	3
nbm	㤕
nbn	尽职尽责
nbo	3
nbp	3
nbq	3
nbt	饏
nbu	3
nbv	3
nbx	3
nca	3
ncb	3
nce	悀
ncg	怪事
nch	3
ncl	3
ncn	忬
nco	3
ncq	3
ncr	惨白
nct	恈
ncx	3
ncy	慅
nda	墯
ndb	民不聊生
ndc	恨不能
ndd	怀有
nde	㤢
ndf	剧增
ndg	剧烈
ndh	剧目
ndi	3
ndj	㤿
ndk	怀中
ndm	愐
ndn	剧情
ndq	居留
ndr	慡
nds	书面材料
ndt	剧种
ndu	心灰意冷
ndw	怀化
ndy	书面讲话
nec	3
nee	慆
neg	怚
nel	3
neo	3
nep	㥅
ner	尼加拉瓜
net	必须符合
neu	民用产品
nev	3
new	㥚
nex	必须统一
nfa	发动攻势
nfc	恸
nfd	迅雷不及掩耳
nfe	3
nff	迅雷
nfg	收支平衡
nfh	买壳上市
nfi	尉
nfk	心直口快
nfn	怯声怯气
nfo	㷉
nfp	屠宰
nfq	避雷针
nfr	迅捷
nft	导航
nfu	层次
nfv	迅即
nfw	发起人
nfx	层级
nga	以毒攻毒
ngb	发表了
ngc	剭
ngd	情愿
nge	以理服人
ngf	发表声明
ngg	情形
ngh	心理上
ngi	恒温
ngj	那是
ngk	悟
ngm	慒
ngn	情怀
ngo	3
ngp	民事案件
ngq	慠
ngr	情操
ngs	屋顶
ngt	以下简称
ngu	民政部
ngw	以下几点
ngx	民事纠纷
ngy	情谊
nha	疏散
nhb	郿
nhc	叏
nhd	奘
nhf	收款
nhg	以点带面
nhi	疏漏
nhj	疍
nhk	收听
nhl	㿿
nhn	收买
nhp	眉宇
nhq	收留
nhr	收看
nht	收盘
nhu	丑闻
nhw	悼念
nhx	收缴
nhy	悼词
nia	3
nib	3
nie	以少胜多
nig	情溢于表
nii	心潮澎湃
nik	3
nil	劚
nin	屁滚尿流
nio	3
nip	戃
nit	犀利
niu	心满意足
niv	3
niw	3
niy	3
njb	3
njd	展览大厅
njf	发明专利
njg	愓
njk	劈里啪啦
njl	慢车
njm	㦙
njo	3
njp	展览室
njq	尼日尔
njv	3
njw	那时候
njy	㥗
nka	韎
nkc	避难
nke	悁
nkg	悜
nkh	翀
nkk	㦍
nkl	3
nkm	愪
nko	3
nkp	3
nks	3
nku	辟
nkx	3
nlb	3
nlc	3
nlf	3
nlg	懁
nlh	3
nli	3
nlj	3
nll	3
nlm	3
nln	忧国忧民
nlo	3
nlq	3
nlt	3
nmb	3
nmc	3
nmd	怏
nmi	届满
nmj	届时
nmk	3
nml	3
nmn	以邮戳日期为准
nmo	3
nmq	3
nms	3
nmt	3
nmu	收购站
nmv	3
nmw	已见分晓
nmx	3
nna	居民区
nnb	局限
nnc	3
nnd	书面
nne	心惊胆战
nnf	发展过程
nng	巳
nnh	发展战略
nni	发展潮流
nnk	发展史
nnl	发愤图强
nnm	屡屡见诸报端
nnn	已
nnq	尽快解决
nnr	书报
nns	发展机会
nnt	快乐
nnu	发展前景
nnv	忧心如焚
nnw	尸体
nnx	发展经济
nny	书记
nob	3
noc	3
noe	3
noj	3
nok	3
nol	3
nom	3
non	慵懒
nop	3
noq	3
nor	3
not	3
nov	慵
npa	3
npb	3
npd	悔之不及
npf	悰
npg	愃
npi	3
npk	3
npl	翚
npn	懧
npo	3
npr	3
npt	㤞
npu	3
npv	3
npw	悾
npx	3
nqa	惛
nqd	恨铁不成钢
nqf	飞针走线
nqg	必然王国
nqh	3
nqj	惸
nqk	悗
nql	3
nqn	怉
nqr	以怨报德
nqs	3
nqw	局外人
nqy	㣿
nrb	惾
nrd	屈打成招
nre	3
nrg	屈指一算
nrl	3
nrn	惶惶
nro	3
nrp	3
nrr	懫
nrs	发挥模范作用
nrt	情势升高
nru	情投意合
nrv	3
nrw	发挥余热
nry	憿
nsb	3
nsc	尽可能多的
nsd	心术不正
nse	3
nsf	慓
nsg	㤓
nsk	3
nsl	3
nsm	3
nsp	3
nsq	3
nsr	飞机制造
nss	惏
nsu	3
nsv	3
nsw	3
nsx	3
nta	发芽
ntb	发生了
ntc	改观
ntd	发达
nte	改用
ntf	忏
ntg	发表
nth	覕
nti	发觉
ntj	发明
ntk	飞行员
ntl	发黑
ntm	发自内心
ntn	性情
nto	发烧
ntp	恪守
ntq	发包
ntr	性质
nts	性格
ntt	改造
ntu	必将
ntv	异乎寻常
ntw	发货
ntx	发给
nty	发言
nua	屏蔽
nub	悦耳
nud	买
nue	㥞
nuf	局部地区
nug	羼
nui	情况汇报
nuj	翌日
nuk	慰问品
nul	以美国为首的
num	3
nun	习性
nuo	3
nur	飞舞
nus	买票
nut	飞往
nuw	层次分明
nux	刷新纪录
nuy	买主
nvb	3
