AAAA	工
DEBV	有限公司
DECN	長矛
DEDC	長髮
DEDD	長大成人
DEDE	憂郁
DEDF	不脛而走
DEDG	有感于
DEDH	長存
DEDK	不辭而別
DEDN	長成
DEDW	長春
DEDX	有礙
DEDY	有膽有識
DEEF	奟
DEEG	硼
DEEH	有用
DEEM	長興
DEEN	有力
DEEX	大力加強
DEFD	長城
DEFG	大力士
DEFH	有趣
DEFK	長遠的
DEFM	郁南
DEFN	有志
DEFR	大力支持
DEFS	大興土木
DEFT	長者
DEFU	有幸
DEFW	長勢喜人
DEGA	有形资产
DEGC	感受到
DEGE	長青
DEGF	有助于
DEGG	砠
DEGI	有救
DEGJ	有理有据
DEGK	有事
DEGU	面貌一新
DEGW	礖
DEGX	有毒
DEHA	憂慮
DEHD	長輩
DEHH	砽
DEHI	大興縣
DEHN	長眠
DEHX	有些地方
DEIA	長江流域
DEIC	長治久安
DEIG	長清
DEIH	長波
DEII	長沙市
DEIK	耐用消費品
DEIP	不妥當
DEIS	長河
DEIT	長海
DEJA	長虹
DEJF	有時侯
DEKA	長嘆
DEKD	長順
DEKH	長足
DEKK	耐用品
DEKQ	胡吹
DELA	克服困難
DELC	而且還可能
DELF	不加思索
DELV	有數
DELW	不服輸
DEMD	長豐
DEMG	胡同
DEMW	長嶺
DENF	憂憤
DENG	有情
DENH	有獎征文
DENU	㤫
DENY	有心
DEOA	長度
DEOO	有勞
DEOQ	有底
DEOY	長廊
DEPA	戞
DEPB	鄾
DEPD	迶
DEPH	長官
DEPK	大膽實踐
DEPM	大興安嶺
DEPN	長寧
DEPT	憂慮
DEPV	長安街
DEPW	長空
DEQA	有錢
DEQC	有色金属
DEQK	有名无实
DEQO	磶
DEQY	長久遠源
DERF	大膽探索
DERG	奮力搶救
DERH	胡扯
DERI	有加無減
DERK	有損於
DERL	有無
DERM	磘
DERN	有所
DERO	大力推廣
DERQ	有的是
DERR	奮力拼搏
DERT	不學無術
DERW	有失
DERX	長樂
DERY	有力措施
DESA	有權有勢
DESE	不勝枚舉
DESH	長相
DESV	而且要
DESW	有机
DESX	有機結合
DETD	有知
DETF	有待
DETG	大學生
DETJ	有利
DETK	有种
DETO	憂愁
DETT	有種
DETV	有節
DETW	大學生運動會
DETY	長篇
DEUA	不辭辛苦
DEUD	龓
DEUE	長龍
DEUG	有病
DEUI	不服判決
DEUJ	有意思
DEUN	大力開展
DEUW	有益
DEUX	有關部門
DEVK	有如
DEVV	長女
DEWE	䭌
DEWF	百兒八十
DEWG	有余
DEWH	長條
DEWI	有償服務
DEWN	大力發展
DEWO	鶘
DEWR	大力發揚
DEWS	不加分析
DEWT	憂傷
DEWU	大膽創新
DEWV	長島
DEWW	三月份
DEWY	有餘
DEXB	而且引起了
DEXD	磎
DEXR	有線
DEXX	長絲
DEYK	有誤
DEYN	有望
DEYO	長談
DEYR	有爭議的
DEYT	有為
DEYU	面貌為之一新
DEYW	有效
DEYY	有方
DFAE	䃻
DFAG	三十七
DFAJ	奔
DFAK	原地區
DFAP	逩
DFAQ	在劫難逃
DFCE	䂶
DFCL	磕
DFCO	奔馳
DFCU	夽
DFCY	砝码
DFDA	大起大落
DFDC	砝碼
DFDD	夸大其词
DFDG	矸石
DFDI	不乾不淨
DFDJ	礝
DFDL	雄才大略
DFDN	威武不屈
DFDQ	有聲有色
DFDT	大吉大利
DFDU	磕碰
DFEA	㦺
DFEB	鄏
DFEC	㲀
DFEE	脣
DFEF	辱骂
DFEI	辰溪
DFEJ	蜃
DFEM	䫃
DFET	敐
DFEU	奔騰
DFEW	碩士學位
DFFD	厓
DFFF	奎
DFFG	硅
DFFH	奔赴
DFFK	奔喪
DFFN	㥣
DFFQ	磽
DFFV	長遠規劃
DFFW	奮起直追
DFGB	奎屯
DFGF	有志于此
DFGG	三十一
DFGH	有志于此
DFGJ	有朝一日
DFGK	大喜事
DFGL	不堪一擊
DFGQ	三十万
DFHE	奮起鬥爭
DFHS	長遠目標
DFHT	磕睡
DFHV	不起眼
DFHW	厧
DFHY	碔
DFIE	辰溪
DFIG	夸耀
DFIH	奔波
DFIJ	大地測量
DFIP	大教堂
DFIQ	辱沒
DFIT	破壞活動
DFIU	奈何
DFIY	奔流
DFJF	三元里
DFKF	㕑
DFKG	硈
DFKH	奔跑
DFKK	礂
DFLC	辱罵
DFLD	大地回春
DFLG	礌
DFLH	三十四
DFLU	不堪回首
DFMF	不走過場
DFMJ	不規則
DFMY	大喜過望
DFNB	郀
DFNF	大勢已去
DFNI	綔
DFNJ	刳
DFNN	匏
DFNO	鴮
DFNT	破坏性
DFNW	㰭
DFNY	瓠
DFOE	大老粗
DFOY	硳
DFPK	成才之路
DFPT	存款額
DFRE	奮起抗爭
DFRF	大勢所趨
DFRI	有增無減
DFRN	有志气
DFRP	布達拉宮
DFRQ	長遠的
DFRR	奮起反抗
DFRT	長遠打算
DFSA	大規模的
DFSH	礵
DFSK	大規模集成電路
DFSR	大規模的
DFST	奔走相告
DFSV	不需要
DFTA	破土動工
DFTB	硣
DFTD	唇舌
DFTG	碩士生
DFTH	不堪入目
DFTI	故地重游
DFTJ	奢
DFTL	奲
DFTM	奔向
DFTQ	不堪重負
DFTT	奮起自衛
DFTU	長遠利益
DFTX	硓
DFTY	故地重遊
DFUE	奔襲
DFUK	大聲疾呼
DFUP	䃮
DFVT	三十九
DFWB	破坏分子
DFWG	奔命
DFWQ	奢侈浪费
DFWS	奈何
DFWT	碐
DFWW	硅谷
DFWY	砆
DFXX	春雨綿綿
DFYH	有志於此
DFYM	大城市
DFYN	奢望
DFYS	不堪設想
DFYT	奔放
DFYU	大塊文章
DFYW	三十六
DGAG	三七開
DGAH	研
DGAJ	硎
DGAK	㕃
DGAM	石英
DGAN	不到黃河不死心
DGAO	䊙
DGAQ	不求甚解
DGAR	揅
DGAT	古董
DGAU	古藺
DGAW	古舊
DGAY	破天荒
DGBB	厂子
DGBJ	咸陽
DGBN	砘
DGBS	大專院校
DGBT	石阡
DGBU	三陪
DGBW	在現階段
DGCE	三通
DGCF	厔
DGCK	三台
DGCN	古巴
DGDA	太平盛世
DGDD	三大
DGDF	硏
DGDG	大理石
DGDH	三夏
DGDI	感到不滿
DGDJ	三百万
DGDK	不一而足
DGDN	有頭有尾
DGDO	石灰
DGDR	石碑
DGDT	古爾邦節
DGDV	三五成群
DGDW	成事不足敗事有餘
DGEC	三亂
DGEE	三月
DGEF	磗
DGEG	碃
DGEN	威力
DGEP	感受到
DGER	感覺
DGEY	硺
DGFD	古城
DGFG	三十
DGFH	在一起
DGFK	威遠
DGFQ	百万元
DGFR	石塊
DGFT	古老
DGGB	有兩下子
DGGC	感到高兴
DGGD	有一天
DGGF	不至于
DGGG	三
DGGK	威逼
DGGL	太平天國
DGGN	磚瓦
DGGQ	三万
DGGW	有求于人
DGHG	古代
DGHI	威縣
DGHQ	三餐
DGHW	不求上進
DGIA	三江
DGIE	不正當競爭
DGIG	感光
DGIH	在政治上
DGII	三水
DGIM	石油化工
DGIR	感激
DGIS	三河
DGIT	威海
DGIU	太平洋
DGIV	感染
DGIW	不正當手段
DGIY	古浪
DGJE	三明
DGJF	磚
DGJG	硬是
DGJH	感冒
DGJR	硬件
DGJT	故事影片
DGKA	感嘆
DGKB	䶠
DGKF	威嚇
DGKH	觱
DGKI	䌠
DGKK	威嚴
DGKM	顑
DGKN	感
DGKR	厂史
DGKW	㰹
DGLA	三國
DGLD	感恩戴德
DGLG	礓
DGLL	古田
DGLN	三思而后行
DGLP	奇珍異寶
DGLW	大型國企
DGMA	古典文学
DGMD	三峽
DGME	硬體
DGMF	石雕
DGMM	石山
DGMY	磧
DGNB	威懾力量
DGNC	古怪
DGNG	感情用事
DGNH	古裝
DGNN	奇形怪狀
DGNO	有求必應
DGNR	研習
DGNT	感性
DGNU	石屏
DGNV	感慨
DGNX	鬆勁情緒
DGNY	瓳
DGOA	硬度
DGOU	石料
DGOW	感應
DGOY	烕
DGPG	厂家
DGPH	在一定程度上
DGPL	三軍
DGPM	在一定範圍內
DGPN	咸寧
DGPP	不速之客
DGPR	不現實的
DGPS	咸宁
DGPV	不到案
DGPW	研究
DGPX	硬實
DGQE	三角
DGQK	威名
DGQN	矹
DGQT	厫
DGRI	石泉
DGRM	研制
DGRN	硬气
DGRQ	大型的
DGRU	硬拼
DGRX	研擬
DGSD	硬頂
DGSH	古朴
DGSL	石樓
DGSO	古樸
DGSR	石棉
DGSS	石林
DGSU	㭐
DGSV	硬要
DGSY	砞
DGTD	古籍
DGTE	硬盤
DGTF	三千
DGTG	石
DGTH	故事片
DGTO	三秋
DGTQ	不平衡
DGTR	古稀之年
DGUF	砰
DGUH	石門
DGUJ	太平間
DGUK	厂部
DGUM	硬幣
DGUQ	三資企業
DGUS	有形資本
DGUT	石首
DGUX	三北防护林
DGUY	有形資產
DGVA	硜
DGVB	三好学生
DGVF	古書
DGVK	感召力
DGVV	䃀
DGVY	威胁
DGWA	古代
DGWC	原班人馬
DGWD	硬仗
DGWE	不敷使用
DGWG	三班倒
DGWH	研修班
DGWI	有一分熱發一分光
DGWO	大型企業
DGWS	硬体
DGWT	硬件
DGWU	三億
DGWW	古人
DGWX	石化
DGWY	威信
DGXA	感到疑惑
DGXB	三級簡碼
DGXI	㕄
DGXP	䢕
DGXR	三線
DGXX	成正比
DGXY	戌
DGYA	三講教育
DGYE	感到高興
DGYF	研討
DGYG	厂主
DGYH	故弄玄虛
DGYI	有理說不清
DGYN	厂房
DGYQ	大政方針
DGYS	大致說來
DGYT	感謝
DGYU	厂商
DGYV	硬朗
DGYW	古交
DGYY	砡
DHAA	破戒
DHAD	丰茂
DHAE	不散
DHAF	不甘落后
DHAG	不巧
DHAH	有目共睹
DHAI	破落
DHAK	不難看出
DHAN	在世界上
DHAQ	不敬
DHAT	厚此薄彼
DHAU	戛
DHAW	破舊不堪
DHBB	盃子
DHBC	存取
DHBD	存在
DHBJ	℡
DHBT	不遜
DHBU	在職人員
DHBW	破除迷信
DHBY	不及
DHCE	不能
DHCF	有步驟地
DHCK	丰台
DHCN	不予考虑
DHCY	破坏
DHDD	厞
DHDE	存有
DHDF	砉
DHDG	不上不下
DHDH	存在
DHDJ	剨
DHDM	有眼不識泰山
DHDN	慧
DHDO	熭
DHDR	不愿
DHDT	奮鬥歷程
DHDU	奀
DHDV	彗星
DHDY	奯
DHEB	不服气
DHEH	甭
DHEN	不力
DHER	在學
DHES	丰采
DHET	不胜枚举
DHEU	不勝枚舉
DHEV	不妥当
DHFA	不堪设想
DHFD	在
DHFF	存款
DHFJ	在場
DHFK	不遠
DHFM	丰南
DHFT	不孝
DHFU	不幸
DHFW	百歲老人
DHFY	有些地方
DHGB	邳縣
DHGC	不致
DHGD	夏天
DHGF	丕
DHGG	不一定
DHGH	歪
DHGI	不求甚解
DHGJ	不理
DHGK	不賴
DHGM	顣
DHGN	慼
DHGO	奮鬥到底
DHGQ	兏
DHGR	大齡青年
DHGU	不平
DHHB	不齒
DHHE	不肯
DHHF	㪺
DHHH	不止一次
DHHI	夏縣
DHHQ	覔
DHHS	奮鬥目標
DHHT	夒
DHHV	慧眼
DHHX	在此基础上
DHIA	不滿意
DHID	破滅
DHIE	不肖子孙
DHIF	不法分子
DHIG	不清
DHII	不消
DHIM	不測風雲
DHIN	否決權
DHIP	不深
DHIS	夏河
DHIT	不少地方
DHIV	夏津
DHIW	不準確
DHIY	不濟
DHJE	不明真相
DHJF	在野
DHJG	不是
DHJH	不暢
DHJJ	夏日
DHJQ	不易
DHJT	彗星
DHKC	夏邑
DHKF	否则
DHKG	砧
DHKH	不足
DHKK	不嚴
DHKM	䫊
DHKW	不只
DHLF	盃水車薪
DHLG	不畏艰险
DHLK	不圖
DHLO	磠
DHLR	硵
DHLV	不軌
DHMA	歪曲事实
DHMF	不周
DHMG	不同的
DHMH	不由得
DHMJ	否則
DHMM	硯山
DHMN	不過關
DHMT	在內
DHMY	碵
DHNA	不懂
DHNB	不敢
DHNF	不慎
DHNH	丰收
DHNI	不遲
DHNN	不已
DHNQ	不懈奋斗
DHNR	不怕
DHNT	不必
DHNW	不悅
DHNY	在心
DHOG	不對
DHOJ	夏糧
DHOP	奉獻精神
DHOU	不料
DHOW	在座
DHOX	奮鬥業績
DHPE	不宜
DHPG	丰富
DHPN	破密
DHPR	在此之后
DHPS	丰宁
DHPT	在此之後
DHPU	在此之前
DHPV	不安
DHPW	不容忽视
DHPY	不眠之夜
DHQA	不錯
DHQD	不然的话
DHQE	不解
DHQH	在外
DHQI	在逃
DHQK	不免
DHQN	硯山
DHQQ	不夠重視
DHQT	破獲
DHQY	不久前
DHRA	大獻殷勤
DHRD	不振
DHRG	太上皇
DHRH	丰年
DHRK	破損
DHRL	在押
DHRN	在握
DHRQ	不拘一格
DHRR	存折
DHRW	不失时机
DHSG	不朽
DHSH	不想
DHSI	存檔
DHSJ	存查
DHSK	不可能
DHSS	不禁
DHST	破格提拔
DHSU	存欄數
DHSV	嫑
DHSW	契机
DHSX	契機
DHSY	在校生
DHTB	夏季
DHTD	不知
DHTE	不穩
DHTF	不等
DHTG	不行
DHTH	不算
DHTJ	不得
DHTK	不和
DHTM	存身
DHTP	不管
DHTT	夏種
DHTU	夏
DHTW	不符合
DHTY	存入
DHUG	不善
DHUH	破門而入
DHUJ	在意
DHUK	不問
DHUL	不曾
DHUM	不端
DHUQ	丰姿
DHUW	不准确
DHUX	不關
DHVB	齧
DHVC	在即
DHVD	契
DHVG	㸷
DHVH	觢
DHVI	洯
DHVJ	蛪
DHVK	不如
DHVM	䫔
DHVN	恝
DHVQ	䚉
DHVR	挈
DHVS	栔
DHVT	㓞
DHVV	㛃
DHVY	不妨
DHWA	不僅
DHWC	不公正
DHWE	䬩
DHWF	不佳
DHWG	不合
DHWH	面目全非
DHWJ	不但是
DHWN	不假思索
DHWO	鴀
DHWS	不休
DHWT	歪風邪氣
DHWU	在位
DHWX	存貨
DHWY	不住
DHXG	不經濟
DHXJ	破費
DHXN	䂣
DHXP	破綻百出
DHXQ	契約
DHXT	存疑
DHXV	不絕於耳
DHXW	不見經傳
DHXX	不比
DHXY	在編人員
DHYA	不講情面
DHYD	破產企業
DHYF	不計其數
DHYK	在京
DHYL	破譯
DHYN	不忘
DHYR	不离
DHYT	存放
DHYU	不適
DHYV	不良
DHYW	在於
DHYX	不變價格
DHYY	不讓
DIAB	䣢
DIAC	耯
DIAE	耢
DIAF	耩
DIAJ	耤
DIAN	耟
DIAO	石油工業
DIAR	石油勘探
DIAS	磲
DIAW	䎯
DIBB	石河子
DIBG	耔
DIBH	䣂
DICE	耗能
DICK	耛
DICN	耙
DIDE	有沒有
DIDF	耨
DIDG	大小不一
DIDI	耕耘
DIDK	有滋有味
DIDM	頛
DIDN	䎨
DIDO	不溫不火
DIDP	不準確
DIDS	長江大橋
DIDT	耰
DIDW	有法不依
DIEE	耡
DIEG	硝
DIEK	耞
DIEN	感染力
DIFB	耕地面积
DIFC	耘
DIFF	砂土
DIFJ	耕
DIFY	不少地方
DIGM	耫
DIGN	石油天然氣總公司
DIGQ	硄
DIHC	耚
DIHN	耜
DIIA	大沙漠
DIID	咸水湖
DIIF	感激涕零
DIII	大汗淋漓
DIIK	耥
DIIM	耗油率
DIIQ	灰溜溜
DIIR	不減當年
DIIS	大渡河
DIIT	耖
DIIY	大洋洲
DIJF	䎪
DIJG	奫
DIJV	春光明媚
DIJY	耦
DIKK	長江口
DILA	盃水車薪
DILC	
DILL	耕田
DILP	不少國家
DILV	耬
DILX	
DIMT	厰
DINK	䎤
DINW	有法必依
DIOD	耱
DIOE	耮
DIOJ	耗糧
DIOO	䎦
DIOS	硝煙彌漫
DIPH	不當之處
DIPL	礑
DIPR	礃
DIPT	不法之徒
DIPU	不治之症
DIQP	長治久安
DIRG	在黨的領導下
DIRK	耗損
DIRQ	大海撈針
DIRT	䎫
DIRY	㼍
DISA	否決權
DISH	耓
DISO	感光材料
DISW	有法可依
DITG	耕牛
DITK	耕种
DITM	大洋彼岸
DITN	耗
DITP	䎭
DITT	砂
DITY	有消息說
DIUH	不少意見
DIUJ	不滿意
DIUK	䎧
DIUQ	耗資
DIVH	耗盡
DIVL	䎩
DIWA	耣
DIWB	不法分子
DIWF	不測風雲
DIWG	大小便
DIWK	耠
DIWN	石油化工總公司
DIWR	大少爺
DIWT	耕作制度
DIWU	春滿人間
DIXJ	耗費
DIXW	耭
DIYD	䎮
DIYE	耲
DIYF	石油市場
DIYG	古漢語
DIYM	長沙市
DIYN	泵房
DIYT	破涕為笑
DIYX	成活率
DIYY	耪
DJAD	長時期以來
DJAI	厚薄
DJAJ	百萬元
DJAN	厭世
DJAP	成果鑒定會
DJAS	長時期以來
DJAU	春暖花開
DJAW	大量工作
DJBD	厚度
DJBL	長蛇陣
DJBM	百出
DJDH	大是大非
DJDI	胡里胡涂
DJDJ	皕
DJDR	不明不白
DJDW	大顯威風
DJEB	壓服
DJEC	魘
DJED	靨
DJEE	饜
DJEF	壓
DJEH	㱘
DJEL	厴
DJEN	懕
DJEO	黶
DJEP	厚愛
DJER	擪
DJES	檿
DJEV	嬮
DJEY	厭惡
DJFB	大量地
DJFD	壓垮
DJFE	㣏
DJFF	大昭寺
DJFQ	百元
DJFS	不明真相
DJFU	壓境
DJGF	厭惡
DJGG	春日融融
DJGH	碮
DJGQ	百万元
DJGR	碭山
DJGY	㼣
DJHH	砷
DJID	不是沒有
DJIK	在日常生活中
DJIP	在野党
DJJF	百里挑一
DJJH	㓦
DJJJ	百日
DJKK	厭戰
DJLL	碩果纍纍
DJMM	石景山
DJNB	奄
DJNC	㪑
DJNH	成果獎
DJNJ	剦
DJNO	鵪
DJNT	不明飛行物
DJOA	厚度
DJOD	厭煩
DJOW	長明燈
DJOY	厘米
DJPC	大顯神通
DJPX	厚實
DJPY	厚禮
DJQC	百色
DJQN	碣
DJRG	百里挑一
DJRH	百年不遇
DJRM	壓製
DJRN	不景气
DJRP	壓迫
DJRQ	大量的
DJSP	壓榨
DJSY	䂺
DJTD	不明智
DJTE	百般挑剔
DJTG	䃏
DJTK	厬
DJTR	大顯身手
DJTU	百科全书
DJTY	大量生產
DJUF	㪶
DJUJ	厚意
DJUM	長時間內
DJUT	厚道
DJVT	百姓
DJWG	百余
DJWH	古時候
DJWN	有時侯
DJWQ	壓低
DJWS	壓價
DJWU	百倍
DJWV	百分之
DJWX	百貨大樓
DJWY	百餘
DJXO	礘
DJXP	壓縮
DJXX	䃂
DJYC	厭棄
DJYN	厚望
DJYP	厚誼
DJYT	奈曼旗
DKAU	有口難辯
DKBC	不足取
DKBW	歷史階段
DKDE	百戰百勝
DKDG	硬踫硬
DKDH	大吵大鬧
DKDI	歷史長河
DKDK	大吃大喝
DKDL	破口大罵
DKDM	右面
DKDR	大吹大擂
DKDT	不戰不和
DKES	大中學校
DKFW	歷史博物館
DKFY	大中城市
DKGA	大中型
DKGD	歷史責任感
DKGF	大喝一聲
DKGH	大中型項目
DKGN	大吃一惊
DKGO	大中型企業
DKGP	歷史事實
DKGW	歷史事件
DKGY	右玉
DKHG	歷史上
DKHH	大踏步前进
DKHU	三足鼎立
DKHW	大踏步前進
DKIC	歷史滄桑
DKIH	大中小
DKII	歷史潮流
DKIR	右派
DKIY	歷史小說
DKJA	歷史時期
DKJD	大器晚成
DKJG	歷史最高水平
DKJQ	歷史最高紀錄
DKJY	歷史時刻
DKKJ	不單單是
DKKL	磾
DKKT	礹
DKKU	歷史唯物主義
DKLA	成員國
DKLG	在中國共產黨的領導下
DKLQ	有中國特色社會主義
DKLU	有中國特色社會主義
DKLY	歷史轉變
DKMA	奏鳴曲
DKMD	歷史豐碑
DKMM	石嘴山
DKMY	磒
DKNK	歷史性飛躍
DKNL	右翼势力
DKNN	歷史必然性
DKNR	歷史性的
DKNS	有史以來
DKNT	歷史性的
DKPH	不足之處
DKRH	不足挂齒
DKRK	厛
DKRN	有口無心
DKRQ	歷史的
DKRT	右手
DKSJ	歷史機遇
DKSP	歷史檔案
DKST	不嚴格
DKTF	奇蹟般地
DKTH	右邊
DKTI	歷史重演
DKTK	長吁短嘆
DKTL	歷史範疇
DKTY	歷史知識
DKUJ	不中意
DKUU	歷史意義
DKUY	憂患意識
DKWC	歷史任務
DKWE	不遺餘力
DKWI	百川歸海
DKWM	右側
DKWN	長足進展
DKWO	大中企業
DKWQ	歷史悠久
DKWT	歷史進程
DKWU	原單位
DKWW	三中全會
DKWX	右傾
DKWY	大躍進
DKXB	㖛
DKXC	歷史經驗證明
DKXD	有口皆碑
DKXF	歷史紀元
DKXJ	歷史經驗證明
DKXQ	歷史紀錄
DKXV	厑
DKYD	不足為奇
DKYF	歷史文化名城
DKYJ	歷史證明
DKYR	長距離
DKYT	歷史文物
DKYU	不足為憑
DKYW	歷史文化
DKYX	成品率
DKYY	右方
DLAA	大罷工
DLAB	不畏艱險
DLBH	在國際上
DLBU	大男子主義
DLDF	春回大地
DLDK	大轟大嗡
DLDN	憂國憂民
DLDQ	百思不得其解
DLDT	三思而后行
DLDV	大男大女
DLDY	䂩
DLES	鬍思亂想
DLFF	礋
DLFG	克羅地亞
DLFT	感恩戴德
DLGE	碨
DLIU	大國沙文主義
DLKF	靣
DLKG	硘
DLLF	感恩圖報
DLLK	大團圓
DLLL	礧
DLMQ	在國內外
DLPF	三連冠
DLPY	䃛
DLSD	不置可否
DLSH	在思想上
DLSK	奏國歌
DLSY	硱
DLTY	碅
DLVW	大眾媒介
DLWB	不思進取
DLWD	㎎
DLWR	大眾傳播
DLWT	大田作物
DLWX	大眾化
DLXF	大團結
DLXI	磥
DLXJ	不畏強暴
DLYE	大眾文學
DMAE	䃩
DMAH	面臨的
DMAK	布鞋
DMAL	不同觀點
DMAN	面世
DMAQ	布匹
DMAW	碘
DMBB	面子
DMBL	布陣
DMBN	面孔
DMBY	布防
DMCC	而又
DMCM	原則通過
DMDF	硸
DMDJ	顨
DMDK	歪曲歷史
DMDO	碳
DMDS	泰山壓頂
DMDW	面頰
DMEE	磞
DMEG	磆
DMEH	耐用消费品
DMEM	靦腆
DMEN	耐力
DMER	面貌一新
DMFA	不同地區
DMFD	大幅增長
DMFE	大幅增加
DMFK	碉
DMFL	布雷
DMFW	耐熱
DMGA	耍弄
DMGF	不同于
DMGK	硐
DMGP	歪曲事實
DMGT	不同一般
DMGU	磑
DMHC	面皮
DMHG	原則上
DMHH	面目全非
DMHQ	不同見解
DMHT	大幅上升
DMHW	面具
DMIA	布滿
DMIL	大同小異
DMIN	大同小异
DMIW	面洽
DMJA	不同時期
DMJB	䩊
DMJC	䩅
DMJD	耎
DMJE	勔
DMJF	耐
DMJG	而是
DMJI	䩍
DMJJ	而
DMJK	厠
DMJM	靧
DMJN	恧
DMJO	鴯
DMJQ	靦
DMJS	䩋
DMJV	耍笔杆子
DMJW	䩎
DMJX	䩃
DMJY	布景
DMLF	布置
DMLH	面罩
DMMU	原則同意
DMNI	不同情況
DMNK	碢
DMNN	硙
DMNR	不同性質
DMNT	耐性
DMNU	不同層次
DMNY	耐心
DMOA	大幅度增加
DMOD	耐煩
DMOE	大幅度增加
DMOG	面對
DMOH	䫰
DMOO	耐火
DMOS	耐磨性
DMOU	面料
DMOW	面粉
DMPA	耐寒
DMPB	有過之而無不及
DMPF	不敗之地
DMPH	不同之處
DMPO	不同社會製度
DMPT	面額
DMPW	面容憔悴
DMQC	面色
DMQH	而外
DMQN	面包车
DMQO	不同角度
DMQY	耐久性
DMRC	䃬
DMRE	面授机宜
DMRG	而后
DMRQ	不同的
DMRT	布拖
DMSG	耐酸
DMSI	大體相當
DMSK	碋
DMTF	布告栏
DMTG	面積
DMTH	不同程度上
DMTJ	不由得
DMTM	面向市场
DMTO	不同程度
DMTU	大骨節病
DMTX	而後
DMTY	不由自主
DMUE	面前
DMUF	原則立場
DMUH	不同意見
DMUJ	不同意
DMUK	面部
DMUM	碙
DMUN	䃃
DMUX	不過關
DMVH	不過如此而已
DMVI	不同尋常
DMVN	不過如此而已
DMWA	磮
DMWE	䪾
DMWF	布什
DMWK	碉堡
DMWN	硶
DMWX	不同凡響
DMWY	磪
DMXI	面紗
DMXQ	面紙
DMYE	布衣
DMYG	砃
DMYK	面熟
DMYO	面談
DMYS	大體說來
DMYT	面謝
DMYU	面商
DMYV	布朗
DMYW	面交
DMYX	不同主張
DNAA	不怕艱苦
DNAB	成蔭
DNAD	尤其是
DNAE	碾
DNAJ	大屏幕
DNAK	在改革中
DNAL	尷尬
DNAN	盛世
DNAR	成藥
DNAS	不惜工本
DNAT	感情甚篤
DNAU	感慨萬端
DNBN	成了
DNBS	尮
DNDA	㝾
DNDD	成套
DNDE	成長
DNDH	盛夏
DNDK	㞆
DNDN	不慌不忙
DNDO	成礦
DNDP	古已有之
DNDR	不屈不撓
DNDT	夏收夏种
DNDW	克己奉公
DNDY	臧
DNEG	感情用事
DNEJ	威懾力量
DNEV	㞂
DNEY	尨
DNFE	右翼勢力
DNFF	雄心勃勃
DNFH	成武
DNFP	硬性規定
DNFR	成塊
DNFT	成都
DNFU	三心二意
DNFW	成堆
DNGA	成型
DNGD	尪
DNGF	㝼
DNGK	盛事
DNGU	感慨万端
DNGY	不屑一顧
DNHC	嘏
DNHI	成縣
DNHQ	成見
DNIE	碿
DNII	㝽
DNIK	盛況空前
DNIN	大惊小怪
DNIP	不敢當
DNIT	成活率
DNJS	成果
DNJX	㞁
DNKF	礔
DNKH	大飛躍
DNKK	成品率
DNKM	尵
DNLD	成因
DNLE	奇裝異服
DNMA	盛典
DNME	尳
DNMM	成山
DNMT	成敗
DNNA	䂥
DNNF	雄心壯志
DNNG	盛情邀请
DNNH	盛裝
DNNJ	䃉
DNNN	不愉快
DNNP	大局已定
DNNT	成性
DNNY	成心
DNPA	大獎賽
DNPG	成家立业
DNPJ	盛宴
DNPK	百忙之中
DNPL	大展宏圖
DNPV	成安
DNQB	尯
DNQC	成色
DNQK	成名
DNQW	有獎銷售
DNQY	尥
DNRA	有恃無恐
DNRG	磖
DNRH	成年
DNRI	硬性攤派
DNRQ	大惊失色
DNRS	大屠殺
DNRX	成批生产
DNRY	盛情邀請
DNSF	成材
DNSG	成本核算
DNSH	不敢想
DNSV	有必要
DNTF	尰
DNTG	盛行
DNTH	成片
DNTT	不怕犧牲
DNTY	有獎征文
DNUA	㞉
DNUG	盛開
DNUO	尲
DNUS	成親
DNUU	成立以来
DNVO	成災
DNVQ	成婚
DNVS	憂心如焚
DNVT	成群结队
DNVU	不怀好意
DNWA	有獎儲蓄
DNWE	磟
DNWG	成全
DNWJ	尬
DNWN	大快人心
DNWT	成風
DNWU	成倍增长
DNWV	成分
DNWW	成份
DNWY	砄
DNXB	郕
DNXG	成績顯著
DNXL	盛会
DNXM	䫆
DNXY	成
DNYA	㞈
DNYD	盛產
DNYE	成衣
DNYG	大民主
DNYI	尤其是
DNYK	成熟
DNYQ	不以為然
DNYT	成為
DNYU	三民主義
DNYW	成效
DNYY	成文
DOAA	礦工
DOAD	礦藏
DOAK	礦區
DOAW	礦山
DOCY	砿
DODE	礦長
DODG	礦石
DODI	礦砂
DODM	三座大山
DODQ	不勞而獲
DODW	左鄰右舍
DOEC	磷肥
DOFF	灰土
DOFG	䂯
DOFJ	礦井
DOFY	礦坑
DOGI	礏
DOGK	不對頭
DOGP	面對現實
DOIS	礦渣
DOJU	灰暗
DOLF	盔甲
DOLH	盔甲
DOLI	勵精圖治
DOMM	礦山
DONT	耐磨性
DONU	礦層
DONX	䃙
DONY	灰心丧气
DOOE	磱
DOOG	礦業
DOOI	礯
DOOJ	㓹
DOOL	大庭廣眾
DOON	灰塵
DOOS	礦床
DOOV	灰燼
DOQC	灰色市场
DORI	礦泉水
DORR	灰白
DORX	確鑿無疑
DOSD	礳
DOTE	不對稱
DOTQ	礦物質
