AAA	工
DRE	原貌
DRF	碷
DRG	砶
DRH	斫
DRI	原
DRJ	有的是
DRK	爽口
DRL	原因
DRM	厒
DRN	有所改善
DRO	原料
DRP	原定
DRQ	磈
DRR	爽
DRS	原本
DRT	碑
DRU	愿意
DRV	磤
DRW	成年人
DRX	礫
DRY	礉
DSA	奇葩
DSB	不可限量
DSC	有可能
DSD	不可不
DSE	有机肥料
DSF	磦
DSG	硒
DSH	矴
DSI	大西洋
DSJ	碴
DSK	奇
DSL	不可思議
DSM	奇峰
DSN	奇怪
DSO	原材料
DSP	不相容
DSQ	不可多得
DSR	不可缺少
DSS	礎
DST	奇特
DSU	㚓
DSV	奇妙
DSW	硹
DSX	有機結合
DSY	不要忘記
DTA	厇
DTB	邦
DTD	硚
DTE	有生力量
DTF	厜
DTG	有利于
DTH	砟
DTI	大街小巷
DTJ	故里
DTK	硌
DTL	硇
DTM	礇
DTN	矻
DTO	磻
DTP	砭
DTQ	大自然
DTR	硪
DTS	歷來
DTT	歷
DTU	不知道
DTV	不咎既往
DTW	磫
DTX	故鄉
DTY	故
DUA	硑
DUB	厥
DUD	㕇
DUE	礀
DUF	辜
DUG	砬
DUH	眘
DUI	遼河
DUJ	遼
DUK	碚
DUL	磳
DUM	三部曲
DUN	磁性
DUO	有關精神
DUP	而立之年
DUQ	有關負責人
DUR	有益的
DUS	磸
DUT	不道德
DUU	冭
DUV	磏
DUW	大部分
DUX	磁
DUY	磋商
DVD	不妨礙
DVE	硍
DVF	砕
DVG	硉
DVI	碌
DVJ	大好時機
DVL	在群眾中
DVM	友好周
DVO	友好精神
DVP	大災之年
DVQ	不盡然
DVS	原始森林
DVT	碯
DVU	不好意思
DVV	大姑娘
DVW	友好合作
DVX	成群結隊
DVY	友好訪問
DWA	砼
DWB	奉承
DWC	砓
DWD	碫
DWE	舂
DWF	磜
DWG	奏
DWH	大体上
DWI	
DWJ	春
DWK	古今中外
DWL	不假思索
DWM	泰山
DWN	磓
DWO	夏令營
DWP	百分之
DWQ	大伙儿
DWR	砜
DWS	不僅要
DWT	秦
DWU	春意
DWV	鴣
DWW	雁
DWX	百分比
DWY	奪
DXA	不斷鞏固
DXB	㔫
DXD	不約而同
DXE	不斷加強
DXF	砒霜
DXG	不斷更新
DXH	成績斐然
DXI	不斷深入
DXJ	砩
DXK	成績單
DXL	有比較才能有鑒別
DXM	不斷豐富
DXN	䂗
DXO	有線廣播
DXP	不斷完善
DXQ	破紀錄
DXR	不斷提高
DXT	礙
DXU	不斷前進
DXW	不斷發展
DXX	砒
DXY	砪
DYA	有效期
DYB	太陽
DYC	硫
DYD	飆
DYE	在京舉行
DYF	有效地
DYG	砫
DYH	唇亡齒寒
DYI	太
DYJ	成交量
DYK	礅
DYL	盇
DYM	長方體
DYN	碥
DYO	硛
DYP	迏
DYQ	成交金額
DYR	有效措施
DYS	太极
DYT	碎片
DYU	磅
DYV	硠
DYW	碎
DYX	戍
DYY	砇
EAA	加工工業
EAB	與世隔絕
EAC	加工能力
EAD	臟
EAE	腊月
EAF	膩
EAG	肛
EAH	臔
EAI	胨
EAJ	舁
EAK	膒
EAL	貓
EAM	朠
EAN	脦
EAO	加工廠
EAP	朦
EAQ	辭舊迎新
EAR	膜拜
EAS	腊梅
EAU	舉世聞名
EAV	㥯
EAW	臒
EAY	膵
EBA	服藥
EBB	郛
EBC	服
EBD	采取有效措施
EBE	服用
EBF	孚
EBG	䏪
EBI	乳汁
EBJ	爭取時間
EBK	乳品
EBL	服輸
EBM	朏
EBN	乳
EBQ	采取多种形式
EBR	采取措施
EBT	嗠
EBW	服侍
EBY	乳房
ECA	服務項目
ECB	辭職
ECC	腏
ECD	肥大
ECE	肥胖
ECF	肥城
ECG	肥豬
ECH	服務處
ECI	肥沃
ECJ	蜰
ECK	胎
ECL	肥田
ECM	亂
ECN	肥
ECO	肥料
ECP	服務社
ECQ	胎儿
ECR	肥皂
ECS	肥西
ECT	服務行業
ECU	肥美
ECV	辭退
ECW	朘
ECX	服務網
ECY	肞
EDA	膸
EDB	受不了
EDC	肱
EDD	胸有成竹
EDE	脹
EDF	胯
EDG	加在一起
EDH	胚
EDI	亂砍濫伐
EDJ	貊
EDK	爭奪戰
EDL	學成回國
EDM	須
EDN	肬
EDO	脄
EDQ	膽大包天
EDR	學有所成
EDS	䐀
EDT	力不從心
EDU	膫
EDW	腠
EDY	肽
EEA	月薪
EEB	脬
EEC	月台
EED	朋友
EEE	月
EEF	舀
EEG	朋
EEH	膄
EEI	月光
EEK	月中
EEM	服服帖帖
EEN	愛學習
EEO	月底
EEP	月初
EEQ	腉
EER	脫胎換骨
EES	肝膽相照
EET	肋
EEV	脮
EEW	鵬
EEX	膎
EEY	月亮
EFA	膹
EFB	肚子
EFC	肢
EFD	臑
EFE	膨脹
EFF	胿
EFG	肚
EFH	肝
EFI	毀滅
EFJ	肼
EFK	膨
EFM	腩
EFN	肟
EFO	肝炎
EFP	脖
EFQ	朊
EFR	與去年同期相比
EFS	毀林
EFT	豺
EFU	寽
EFV	膤
EFW	毀
EFX	毀約
EFY	肘
EGA	助工
EGB	肫
EGC	胵
EGD	且
EGE	助
EGF	助教
EGG	助理
EGH	舉止
EGI	脙
EGJ	刞
EGK	膈
EGL	舉國
EGM	肺
EGN	舉
EGO	肺炎
EGP	䢐
EGQ	用一句話來說
EGR	助手
EGS	䏞
EGT	舉行
EGU	胓
EGV	脛
EGW	雎
EGX	胰
EGY	譽為
EHA	臚
EHC	叟
EHD	腓
EHE	用力
EHF	用地
EHG	胩
EHH	臞
EHI	用水
EHJ	用量
EHK	用
EHM	與此同時
EHN	用以
EHO	用煤
EHP	用家
EHQ	覓
EHR	用手
EHS	用來
EHU	辵
EHV	用盡
EHW	用途
EHX	頿
EHY	用房
EIA	䝣
EIE	䏴
EIG	胱
EII	盥洗
EIJ	肺活量
EIL	盥
EIM	䐝
EIN	毀滅性
EIP	膛
EIR	脳
EIT	䏚
EIU	加油站
EIV	膽小如鼠
EIW	膌
EJF	貍
EJG	腸
EJH	刖
EJI	力量源泉
EJJ	蠫
EJL	腸胃
EJM	腢
EJO	力量對比
EJP	力量之源
EJR	腥气
EJS	腂
EJT	腥
EJW	興旺發達
EJX	䐊
EKA	加工
EKB	架子
EKC	駕
EKD	加大
EKE	加力
EKF	加熱
EKG	加
EKH	膭
EKI	加深
EKJ	加盟
EKK	臊
EKL	加固
EKM	賀
EKN	乫
EKO	加料
EKP	迦
EKQ	加印
EKR	賀年
EKS	架
EKT	毠
EKU	架次
EKV	妿
EKW	嗧
EKX	加強
EKY	袈
ELA	膕
ELB	愛國陣線
ELD	胭
ELE	舅
ELF	爵士
ELG	輿
ELH	胛
ELI	愛國激情
ELN	腮
ELO	肥田粉
ELP	愛國運動
ELQ	臅
ELS	膽固醇
ELT	愛國衛生運動
ELU	腸胃病
ELV	爵
ELW	膃
ELX	舅母
ELY	輿論
EMA	腆
EMB	興隆
EMD	胦
EME	興學
EMF	爯
EMG	興
EMH	帠
EMI	興海
EMJ	興旺
EMK	興嘆
EML	受賄罪
EMM	興山
EMN	腡
EMO	興業
EMP	受賄案
EMT	興和
EMU	興辦
EMV	興建
EMW	肭
EMY	興衰
ENB	㐍
END	腒
ENE	力爭
ENF	膠南
ENG	腛
ENH	腵
ENI	脲
ENJ	力量
ENK	䑀
ENL	力圖
ENM	學習體會
ENN	劜
ENO	力度
ENQ	加以解決
ENR	甩掉
ENS	愛民模範
ENT	力
ENU	鼠
ENV	甩
ENW	膠
ENX	胒
ENY	臎
EON	膔
EOO	腅
EOQ	膦
EOT	愛勞動
EOU	䊆
EOV	膅
EOW	腑
EOY	脒
EPA	臗
EPB	受阻
EPC	受
EPD	迌
EPE	受用
EPF	腙
EPG	腚
EPI	受潮
EPJ	興安盟
EPL	腪
EPM	受賄
EPN	愛
EPP	受害
EPQ	腕
EPR	受控
EPS	與之相比
EPU	受益
EPV	胺
EPW	腔
EPY	受雇
EQA	胝
EQB	兒
EQC	脃
EQD	脆
EQE	胸脯
EQF	彩色電視機
EQH	兒戲
EQI	朓
EQJ	彩色照片
EQK	朐
EQL	膽略
EQN	胞
EQO	舄
EQP	胸襟
EQQ	䏧
EQR	胸
EQS	兒歌
EQT	兒科
EQU	胸部
EQV	胞妹
EQW	肷
EQX	脆弱
EQY	豹
ERA	學期
ERB	朡
ERC	胍
ERD	脪
ERE	脈
ERF	腯
ERG	胉
ERH	肵
ERI	腺
ERJ	學時
ERK	乳制品
ERL	膴
ERM	繇
ERN	脾性
ERO	學業
ERP	覺察
ERQ	貌
ERR	學
ERS	脎
ERT	脾
ERU	學問
ERV	力挫群雄
ERW	胅
ERX	學費
ERY	學說
ESA	膝蓋
ESB	采取
ESD	采礦
ESE	采用
ESF	膘
ESH	股票上市
ESI	采油
ESJ	彩虹
ESK	胢
ESL	彩車
ESM	采購
ESO	采煤
ESP	采寫
ESQ	彩色
ESR	采摘
ESS	彩票
EST	腰身
ESU	彩卷
ESV	腰
ESW	膝
ESX	采納
ESY	䝗
ETA	胮
ETB	胣
ETD	膖
ETE	貈
ETF	脡
ETG	腫
ETH	臼
ETI	腹瀉
ETJ	腹
ETK	胳
ETL	貔
ETM	䐿
ETN	噕
ETO	膰
ETP	胜利完成
ETT	彡
ETU	腹部
ETV	腇
ETW	胜任
ETX	脢
ETY	豸
EUA	胼
EUB	胖子
EUD	騰
EUE	朧
EUF	受益者
EUG	胖
EUH	妥善處理
EUI	臆測
EUJ	臆
EUK	䏽
EUL	兒童團
EUM	勝過
EUN	騰飛
EUP	妥善安置
EUQ	妥善解決
EUR	兒童樂園
EUS	臆想
EUT	臆造
EUV	膁
EUW	膉
EUX	臆斷
EUY	滕州
EVA	墾區
EVB	爭取
EVC	䐚
EVD	爭奪
EVE	腿
EVF	妥
EVG	肗
EVH	爭
EVI	腦海
EVK	貂
EVL	臘
EVM	爭購
EVN	肍
EVP	爭冠
EVR	爭氣
EVS	爭相
EVT	腦
EVU	妥善
EVV	兒媳婦
EVW	鵎
EVY	肒
EWA	受人欺凌
EWB	脫險
EWC	股
EWD	腶
EWE	胗
EWF	肸
EWG	臉
EWH	腳步
EWI	臾
EWK	脫
EWL	脫困
EWM	肌肉
EWN	肌
EWO	脫粒
EWP	貌合神离
EWQ	股金
EWR	股份制
EWS	貅
EWT	股息
EWU	斞
EWV	朌
EWW	腳
EWX	а
EWY	朎
EXA	奚落
EXB	加強了
EXD	奚
EXE	脂肪
EXG	腞
EXH	䏖
EXI	乿
EXJ	脂
EXK	膙
EXL	加強團結
EXN	雞蛋
EXS	肺結核
EXT	膷
EXU	䐞
EXW	加強合作
EXX	肶
EXY	胟
EYA	輿論監督
EYD	興衰成敗
EYE	興高采烈
EYF	助產士
EYG	毀於一旦
EYJ	月產量
EYK	朜
EYL	輿論界
EYM	膽識過人
EYN	胲
EYO	興衰榮辱
EYP	脫離實際
EYQ	脫離危險
EYS	助記歌
EYT	肪
EYU	膀
EYV	朖
EYW	腋
EYX	臃
EYY	輿論認為
FAA	二期工程
FAB	才華出眾
FAC	雨花台
FAD	堪
FAE	霰
FAF	卋
FAG	墷
FAH	壏
FAI	塔河
FAJ	卉
FAK	霸
FAL	㙹
FAM	賁
FAN	堞
FAO	十萬火急
FAP	靀
FAQ	墆
FAR	南斯拉夫
FAS	枽
FAT	塔身
FAU	霸道
FAW	塔
FAX	地區經濟
FAY	塃
FBA	土耳其
FBB	地陷
FBD	地面
FBE	地膜
FBF	地址
FBG	地球
FBH	邗
FBI	邗江
FBJ	壭
FBK	凷
FBL	地界
FBM	地幔
FBN	地
FBO	電子對抗
FBP	逇
FBQ	地名
FBR	地質
FBS	垜
FBT	霳
FBU	地道
FBW	地位
FBX	壣
FBY	圾
FCA	弆
FCB	叝
FCC	墋
FCD	頍
FCE	劫
FCF	云南
FCH	去處
FCI	支流
FCJ	刦
FCK	唟
FCL	盍
FCM	支農
FCN	翅
FCO	走馬燈
FCP	迲
FCQ	去留
FCR	魂
FCS	支柱
FCT	埃
FCU	去
FCV	刧
FCW	埈
FCX	鼁
FCY	才能充分體現
FDA	堶
FDB	十三陵
FDC	坺
FDD	老太太
FDE	需用
FDF	震
FDG	坧
FDH	坯
FDI	地面水
FDJ	埯
FDK	震中
FDL	壥
FDM	需
FDN	城
FDO	博大精深
FDP	垯
FDQ	城鎮
FDR	塬
FDS	埼
FDT	靂
FDU	地面站
FDV	老百姓
FDW	埉
FDX	垅
FDY	城市
FEA	十月革命
FEB	垺
FED	老朋友
FEE	協
FEF	埒
FEG	坥
FEH	赤膊上陣
FEI	教學法
FEJ	霾
FEK	赤膽忠心
FEL	未加思索
FEM	協同
FEN	增加收入
FEO	電腦應用
FEP	協定
FEQ	霓
FER	霢
FES	埰
FET	㔹
FEU	協辦
FEW	十月份
FEX	電力網
FEY	霡
FFA	壩
FFB	邽
FFC	雲
FFD	壖
FFE	劸
FFF	圭
FFG	奊
FFH	填
FFI	款
FFJ	刲
FFK	郌
FFL	壊
FFM	封山
FFN	恚
FFO	霊
FFP	堵塞
FFQ	坃
FFR	博士后
FFS	土木
FFT	堵
FFU	寺
FFV	封建
FFW	堎
FFX	鼃
FFY	填充
FGA	十七
FGB	坉
FGC	垤
FGD	十三
FGE	博
FGF	圩
FGG	二
FGH	十
FGI	干涉
FGJ	垣
FGK	塥
FGL	堜
FGM	武夷山
FGN	雨情
FGO	干燥
FGP	地下室
FGQ	地下鐵道
FGR	十年
FGS	十杰
FGT	二千
FGU	坪
FGV	霋
FGW	十分
FGX	坘
FGY	十六
FHA	墟
FHB	趣
FHC	坡
FHD	霏
FHE	趄
FHF	直
FHG	越
FHH	赴
FHI	趟
FHJ	趕
FHK	坫
FHL	塷
FHM	赸
FHN	武
FHO	走廊
FHP	趤
FHQ	趨
FHR	赾
FHS	真相
FHT	趲
FHU	走
FHV	超
FHW	真
FHX	超級
FHY	圤
FIA	霟
FIB	增添了
FIC	未能
FID	靋
FIE	霄
FIF	祘
FIG	霈
FIH	霑
FII	未
FIJ	臺灣是中國的一部分
FIK	老河口
FIL	云游四方
FIM	埫
FIN	礼
FIO	釐米
FIP	壋
FIQ	未免
FIR	未按
FIS	霂
FIT	釐
FIU	示
FIV	墚
FIW	塉
FIX	霐
FIY	霔
FJA	埋藏
FJB	堤防
FJC	朝圣
FJD	坦克
FJE	井架
FJF	朝
FJG	坦
FJH	刊
FJI	汬
FJJ	亓
FJK	井
FJL	墁
FJM	堣
FJN	塌
FJO	井底
FJP	乾安
FJQ	埸
FJR	朝气
FJS	堁
FJT	刊物
FJU	朝前
FJV	刱
FJW	刊登
FJX	堒
FJY	丼
FKA	喜歡
FKB	郆
FKC	鼓足勇气
FKD	頡
FKE	袁
FKF	吉
FKG	埕
FKH	圳
FKI	地中海
FKJ	吉日
FKK	靈
FKM	塤
FKN	翓
FKO	＃
FKP	臺
FKQ	欯
FKR	鼓舞
FKS	吉林
FKT	吉利
FKU	鼓
FKV	喜好
FKW	遠
FKX	哉
FKY	遠離
FLA	戴
FLD	堌
FLE	賣力
FLF	雷
FLG	堽
FLI	雷波
FLJ	雷暴
FLK	雷鳴
FLL	夁
FLM	賣
FLN	二輕局
FLO	賣座
FLP	載客
FLQ	畞
FLR	賣掉
FLS	賣票
FLT	雷管
FLU	替罪羊
FLV	塿
FLW	堺
FLX	載
FLY	塄
FMA	霻
FMB	南陵
FMC	南通
FMD	坱
FME	塴
FMF	霌
FMG	垌
FMH	圸
FMI	南海
FMJ	南昌
FMK	坰
FML	南國
FMM	南丹
FMN	堝
FMO	南康
FMP	南宁
FMQ	境內外
FMR	南樂
FMS	南极
FMT	南和
FMU	南
FMV	南召
FMW	埁
FMX	南疆
FMY	垻
FNA	壽
FNB	㐊
FNC	翹尾巴
FND	志愿
FNE	聲譽
FNF	䨒
FNG	堩
FNH	霞
FNI	墀
FNJ	聲明
FNK	霹
FNM	志丹
FNN	圯
FNP	迃
FNQ	聲名
FNR	霫
FNS	直屬機關
FNT	志向
FNU	忈
FNV	亐
FNW	聲
FNX	坭
FNY	聲望
FOA	壙
FOB	郝
FOC	垿
FOD	頳
FOE	赤膊
FOF	赫
FOG	墣
FOH	覝
FOI	塘沽
FOJ	赨
FOM	赤峰
FON	塶
FOO	埮
FOP	赤字
FOQ	赥
FOR	赫哲
FOT	赦
FOU	赤
FOV	塘
FOW	地廣人稀
FOX	烖
FOY	赤誠
FPA	考察工作
FPB	勃
FPD	槖
FPE	十字架
FPF	壺
FPG	壹
FPH	電視劇
FPI	電視小品
FPJ	塓
FPK	辻
FPL	堚
FPM	索賠
FPN	索性
FPO	電視廣告
FPP	赤裸裸
FPQ	埦
FPR	幸福的
FPS	坾
FPT	垞
FPU	索道
FPV	垵
FPW	坈
FPX	索
FPY	南宁市
FQA	坻
FQB	元
FQC	兘
FQD	頑
FQE	埆
FQF	坖
FQG	元素
FQH	頑皮
FQI	垗
FQJ	刓
FQK	堍
FQL	頑固
FQM	均由
FQN	雹
FQO	均應
FQP	元宵
FQQ	垑
FQR	圽
FQS	均可
FQT	均衡
FQU	均
FQV	埩
FQW	坎
FQX	黿
FQY	朮
FRA	朝气蓬勃
FRB	堫
FRC	坂
FRD	直接原因
FRE	地質學
FRF	支持者
FRG	垢
FRH	圻
FRI	喜气洋洋
FRJ	直接影響
FRK	支持單位
FRL	墲
FRM	十年內亂
FRN	塊狀
FRO	直接對話
FRP	零的突破
FRQ	塊
FRR	二把手
FRS	十年樹木
FRT	埤
FRU	支援前線
FRV	十年如一日
FRW	老年人
FRX	直接經濟損失
FRY	坼
FSA	土木工程
FSB	霜降
FSC	都可能
FSD	真相大白
FSF	堙
FSG	酨
FSH	霜
FSI	吉林省
FSJ	墰
FSK	坷
FSL	南极圈
FSM	栽贓
FSQ	需要解決
FSR	考核制度
FSS	霖
FST	二极管
FSU	雬
FSV	土木建筑
FSW	零配件
FSX	栽
FSY	霍林郭勒
FTA	圫
FTB	教
FTC	才能
FTD	垁
FTE	耂
FTF	霆
FTG	壎
FTH	埏
FTI	教堂
FTJ	者
FTK	垎
FTL	才略
FTM	塮
FTN	圪
FTO	墦
FTP	考察
FTQ	耇
FTR	教授
FTS	都要
FTT	耉
FTU	垀
FTV	都好
FTW	老人
FTX	老
FTY	坆
FUA	垪
FUB	干部子女
FUC	報務
FUD	埢
FUE	壠
FUF	雴
FUG	垃
FUH	達卡
FUI	增添
FUJ	境
FUK	培
FUL	增
FUM	增幅
FUN	增收
FUO	報廢
FUP	幸福
FUQ	壛
FUR	干部制度
FUS	墫
FUT	增生
FUU	增益
FUV	霎
FUW	塧
FUX	增強
FUY	赱
FVA	雪花
FVB	雪恥
FVD	雪原
FVE	垠
FVF	雪
FVG	垏
FVH	壗
FVI	埭
FVJ	雪景
FVL	封建思想
FVM	雪山
FVN	城建局
FVO	封建迷信
FVP	埽
FVR	雪白
FVS	雪柜
FVT	堖
FVU	幹群關係
FVV	老奶奶
FVW	超媒体
FVX	封建統治
FVY	雪亮
FWA	零散
FWB	邞
FWC	坄
FWD	垘
FWE	截肢
FWF	替
FWG	垥
FWH	規
FWI	截流
FWJ	圿
FWK	堢
FWL	熱點
FWM	椝
FWN	埠
FWO	零度
FWP	老人家
FWQ	截留
FWR	干休所
FWS	垛
FWT	堸
FWU	熱門
FWV	坋
FWW	赍
FWX	墢
FWY	零
FXC	䨎
FXD	毐
FXE	坳
FXF	熱線電話
FXG	堟
FXH	塡
FXI	增強黨性
FXJ	坲
FXK	教練員
FXL	增強團結
FXN	城鄉居民
FXP	老紅軍
FXR	十幾年來
FXS	教練機
FXT	二級簡碼
FXU	老弱病殘
FXV	城鄉建設
FXW	二級企業
FXX	堦
FXY	坶
FYA	教育工作
FYB	教育子女
FYC	堉
FYD	城市面貌
FYE	裁
FYF	霅
FYG	地方政府
FYH	地方戲
FYI	圡
FYJ	靄
FYK	壤
FYL	壇
FYM	地方財政
FYN	垓
FYO	塆
FYP	裁定
FYQ	地方色彩
FYR	雱
FYS	超文本
FYT	坊
FYU	雯
FYV	埌
FYW	坑
FYX	壪
FYY	南京市
GAA	琖
GAB	邢
GAC	邢台
GAD	琪
GAE	形
GAF	玵
GAG	玒
GAH	琊
GAI	弄清
GAJ	弄
GAK	瑾
GAL	東歐國家
GAM	瑛
GAN	玴
GAO	烎
GAP	形容
GAQ	璥
GAR	一切后果
GAS	弄權
GAT	璓
GAU	正式開始
GAV	整舊如新
GAW	珙
GAX	下世紀初
GAY	青藏高原
GBB	瑘
GBC	㻓
GBD	瓍
GBE	屯墾
GBF	專職幹部
GBG	珥
GBJ	屯昌
GBK	頓號
GBN	頓
GBP	一孔之見
GBQ	屯留
GBR	屯兵
GBW	現階段
GBX	互聯網
GBY	青出於藍
GCA	到期
GCB	致函
GCC	晉
GCD	一通百通
GCE	致力
GCF	至
GCG	至于
GCH	至此
GCI	至少
GCK	珆
GCL	到點
GCM	五台山
GCN	瑈
GCO	瑪
GCP	致富
GCQ	玧
GCR	到手
GCS	到校
GCT	晉升
GCU	丟
GCW	至今
GCX	晉級
GCY	㺨
GDA	⒎
GDB	形成了
GDC	蚕桑
GDD	△
GDE	瑚
GDF	幵
GDG	珬
GDH	玤
GDI	天
GDJ	奣
GDK	吞
GDL	◇
GDM	頊
GDN	忝
GDO	天麻
GDP	迗
GDQ	天然
GDR	「
GDS	琦
GDT	瓑
GDU	㺯
GDV	⒐
GDW	琫
GDX	№
GDY	天文
GEA	青工
GEB	琈
GEC	豝
GED	豲
GEE	靜
GEF	青
GEG	瑗
GEH	甫
GEI	豕
GEJ	蟸
GEK	珈
GEL	青田
GEM	青山
GEN	豭
GEO	逐鹿
GEP	逐
GEQ	豞
GER	豨
GES	表格
GET	玏
GEU	表彰
GEV	豤
GEW	豛
GEX	逐級
GEY	剢
GFA	五十七
GFB	邘
GFC	求真務實
GFD	瓀
GFE	一塊兒
GFF	珪
GFG	亞
GFH	玕
GFI	平均水平
GFJ	琎
GFK	于
GFL	盂
GFM	表示同意
GFN	璹
GFO	一塌糊涂
GFP	迂
GFQ	玩
GFR	副教授
GFS	東南西北
GFT	珯
GFU	現場辦公
GFV	五十九
GFW	玞
GFY	五十六
GGA	一切
GGB	一下子
GGC	琶
GGD	一套
GGE	琢
GGF	玗
GGG	王
GGH	五
GGI	一流
GGJ	瑼
GGK	珸
GGL	一
GGM	一同
GGN	瑟
GGO	瑨
GGP	一定
GGQ	璈
GGR	一年
GGS	琹
GGT	一种
GGU	玶
GGV	一群
GGW	琴
GGX	琵
GGY	一方
GHA	琥
GHB	下降
GHC	玻
GHD	正
GHE	正月
GHF	下去
GHG	焉
GHH	羐
GHI	下
GHJ	琸
GHK	玷
GHL	政界
GHM	下山
GHN	丐
GHO	政府
GHP	璿
GHQ	現
GHR	正气
GHS	下述
GHT	政
GHU	下次
GHV	正如
GHW	颪
GHX	玼
GHY	㺪
GIA	璖
GIB	救出
GID	互派大使
GIE	琑
GIF	琺
GIG	珖
GIH	政治上
GII	青海省
GIJ	求是
GIK	珠江口
GIL	政治思想
GIM	瑣
GIN	政治局
GIO	救火
GIP	瑺
GIQ	政治危机
GIR	青少年
GIS	至少可以
GIT	求得
GIU	政治部
GIV	珰
GIW	正常人
GIX	政治經濟
GIY	救
GJA	丣
GJB	專職
GJC	更能
GJD	更大
GJE	更加
GJF	理
GJG	刯
GJH	惠
GJI	東
GJJ	琩
GJK	丌
GJL	瑥
GJM	理由
GJN	更快
GJO	專業
GJP	惠安
GJQ	更多
GJR	更
GJS	理想
GJT	瑆
GJU	更新
GJV	更好
GJW	理念
GJX	琨
GJY	璟
GKA	事項
GKB	郚
GKC	融通
GKD	事故
GKE	琄
GKF	吾
GKG	丗
GKH	囊
GKI	整
GKJ	亜
GKK	卅
GKL	副
GKM	融
GKN	事情
GKO	速度
GKP	逜
GKQ	事儿
GKR	吏
GKS	整机
GKT	敔
GKU	豆
GKV	事
GKW	整体
GKX	束縛
GKY	速率
GLD	珚
GLF	環境
GLG	環
GLH	玾
GLI	柬
GLK	卌
GLL	瓃
GLM	環山
GLO	一團糟
GLP	璉
GLQ	㻿
GLR	環抱
GLT	環節
GLU	兩國關係
GLV	㻲
GLW	琾
GLX	環繞
GLY	正因為
GMA	遭
GMB	再出
GMC	叀
GMD	瑞
GME	勣
GMF	再
GMG	遭到
GMH	兩
GMI	刺
GMJ	曺
GMK	下崗員工
GML	兩國
GMM	珊
GMN	恵
GMO	再度
GMP	瑞安
GMQ	瑞金
GMR	棘手
GMS	′
GMT	再生
GMU	責
GMV	再婚
GMW	丙
GMX	兩級
GMY	珼
GNA	珉
GNB	㐏
GND	琚
GNE	惡性腫瘤
GNF	殖民地
GNG	珝
GNH	瑕
GNI	㝳
GNJ	到那時
GNK	瑋
GNM	致以崇高的敬意
GNN	瓦
GNP	一臂之力
GNQ	瓦解
GNR	戸
GNS	平裝本
GNT	攷
GNU	忢
GNV	丂
GNW	玦
GNX	戉
GNY	夨
GOA	政府工作
GOB	政府職能
GOD	事業成功
GOF	王府井
GOG	璞
GOH	烈火見真金
GOK	事業單位
GON	事業心
GOO	琰
GOP	政府官員
GOQ	璘
GOR	專業技術
GOS	政府机构
GOT	玩火自焚
GOU	政府部門
GOV	瑭
GOW	政府代表
GOX	政府總理
GOY	更應該
GPB	一定限度
GPC	一定能夠
GPD	辷
GPE	專家學者
GPF	琮
GPG	琔
GPH	琯
GPI	兩袖清風
GPJ	一定是
GPL	琿
GPM	一視同仁
GPN	現實情況
GPO	珠寶店
GPP	一審宣判
GPQ	琬
GPR	瑸
GPS	一定要
GPT	一定程度
GPU	現實意義
GPV	囊空如洗
GPW	琛
GPX	專家組
GPY	事實證明
GQA	殘
GQB	殛
GQC	殆
GQD	殎
GQE	殍
GQF	殖
GQG	琻
GQH	殩
GQI	歹
GQJ	列
GQK	殫
GQL	殬
GQM	殃
GQN	玸
GQO	列席
GQP	殯
GQQ	殉
GQR	殊
GQS	天然林
GQT	熬
GQU	殕
GQV	兀
GQW	殲
GQX	死
GQY	玖
GRA	更年期
GRB	珠子
GRC	天氣預報
GRD	碧
GRE	青年學生
GRF	青年干部
GRG	珀
GRI	珠
GRJ	一無是處
GRK	豆制品
GRL	璑
GRM	珤
GRN	一剎那
GRO	一手遮天
GRP	一气之下
GRQ	瑰
GRR	瓆
GRS	一年來
GRT	琕
GRU	棘手問題
GRV	一拍即合
GRW	青年人
GRX	瓅
GRY	璬
GSA	末期
GSB	末了
GSD	膥
GSE	互相學習
GSF	互相支持
GSG	一查到底
GSH	玎
GSI	末
GSJ	亍
GSK	珂
GSM	平頂山
GSN	末尾
GSR	末年
GSS	琳
GST	═
GSU	互相尊重
GSV	琴棋書畫
GSW	琜
GSY	東西方
GTA	一等功
GTB	琇
GTC	再生能源
GTD	琒
GTE	珘
GTF	瓚
GTG	珩
GTH	一般見識
GTI	政策水平
GTJ	琍
GTK	珞
GTL	璁
GTM	珦
GTN	琁
GTO	璠
GTP	五筆字型
GTQ	瓈
GTR	珴
GTS	更重要的是
GTT	平等待人
GTU	一知半解
GTV	副秘書長
GTW	瑽
GTX	珻
GTY	玫
GUA	事半功倍
GUB	一意孤行
GUC	平台
GUD	刾
GUE	瓏
GUF	平
GUG	珜
GUH	正義鬥爭
GUI	平常
GUJ	璋
GUK	琣
GUL	璔
GUM	平山
GUN	一次性
GUO	平庸
GUP	平安
GUQ	平遙
GUR	下半年
GUS	慭
GUT	平衡
GUU	再立新功
GUV	亊
GUW	一部分
GUX	珶
GUY	平方
GVA	勁
GVB	妻子
GVD	再好不過
GVE	珢
GVF	坙
GVG	珒
GVH	妻
GVI	琭
GVJ	璅
GVK	玿
GVL	到群眾中去
GVO	㻏
GVP	一怒之下
GVR	殘忍的
GVS	頸椎
GVT	瑙
GVV	一如既往
GVW	一九八四年
