aaaa	工
cwwq	驻华使馆
cwxk	通信线路
cwyg	难
cwyn	难忘
cwyt	难为
cwyu	难说
cwyy	难言
cxcf	又红又专
cxoa	对比度
cxwy	通缉令
cyab	圣诞节
cyar	通州区
cybj	通讯卫星
cybp	参议院
cycf	能文能武
cydo	观望态度
cydu	双方愿意
cyff	通讯地址
cygf	双方表示
cyju	蚤
cykm	通讯员
cylg	叉车
cymx	通讯网络
cynt	圣诞快乐
cypb	难言之隐
cypy	通讯社
cyry	难言的苦衷
cysr	对话机制
cysw	对讲机
cyta	参谋长
cytx	通讯系统
cyub	驻京部队
cyuk	参谋部
cyuu	能言善辩
cyvi	通讯录
cywu	能说会道
cyxj	通话费
cyyi	㕚
cyyp	双方商定
cyyy	双方认为
daal	礷
daar	不甘落后
daay	碊
dacy	有苦难言
dada	不劳而获
dade	磡
dadg	百花盛开
dadj	不期而遇
dadk	左右
dadn	碪
dadq	大惑不解
dadr	厮
dadw	克勤克俭
dady	砸碎
daeg	䃊
daen	毻
daep	左边
daet	䃟
daeu	面黄肌瘦
dafg	不共戴天
dafl	礚
dafw	硬功夫
dafx	不甘示弱
dahd	在某些方面
dahf	䃘
dahg	在某些特殊情况下
dahh	胡萝卜
dahl	礛
dahm	礥
dahs	䂋
daht	砑
daif	礴
dair	左派
dajd	厝
dajg	尤其是
dajn	礍
dakg	厪
daky	礶
dalf	百花园
dalh	在世界上
dalm	在世界范围内
daly	礣
damd	碤
damf	䃓
damh	砸
damw	磺
damy	碽
danf	奆
danl	左翼
dans	碟
dany	不甘心
daog	大工业
dapa	有功之臣
dapb	不切实际
dape	礞
dapj	奉若神明
dapk	成功之路
dapp	不甘寂寞
dapr	不惑之年
daqd	百花争艳
daqi	布莱尔
daqj	䃡
daqp	有其名而无其实
darq	成功的
dars	厮杀
dart	左手
daru	奁
dary	砹
dasc	左权
dasv	尤其要
datd	大功告成
date	二〇一八年七月二十一日
datg	有期徒刑
dath	在某种程度上
datq	硗
dauq	百花奖
davt	砌
dawe	大获全胜
dawg	大革命
dawh	在工作上
dawi	礤
dawk	在工作中
dawm	左侧
dawx	丰功伟绩
dawy	硔
daxc	成功经验
dayn	硭
dayx	成功率
dayy	百花齐放
dbbp	不了了之
dbby	顾及
dbce	太阳能
dbci	太阳能电池
dbdd	奇耻大辱
dbdm	顾
dbds	有职有权
dbek	大陆架
dbfc	厄运
dbfs	有职无权
dbfu	在职干部
dbgn	有限责任公司
dbgo	奉陪到底
dbgu	不耻下问
dbha	顾虑
dbhc	㿴
dbig	太阳光
dbme	大陆同胞
dbmh	础
dbmp	布隆迪
dbnr	胡子眉毛一把抓
dbow	破除迷信
dbpt	顾客
dbqe	不了解
dbro	不出所料
dbrq	有限的
dbsi	故障检测
dbst	有隙可乘
dbta	大队长
dbtu	百孔千疮
dbtx	太阳系
dbuk	顾问
dbwk	在职人员
dbwn	有限公司
dbwu	大出风头
dbxu	原子弹
dbyw	不承认
dbyy	砐
dcag	硁
dccs	磉
dcda	不欢而散
dcde	碜
dcdg	大难不死
dcdh	不能不
dcdi	镽
dcdj	雄厚
dcdk	不骄不躁
dcdm	面对面
dcdy	有勇有谋
dcea	髷
dceb	鬈
dcec	髪
dced	髺
dcee	鬟
dcef	髯
dceg	髬
dceh	硧
dcei	鬃
dcej	髴
dcek	髫
dcel	䰐
dcem	䰅
dcen	髦
dceo	鬏
dcep	友爱
dceq	髡
dcer	鬄
dces	髹
dcet	髟
dcev	䰀
dcew	鬓
dcex	髭
dcey	髣
dcfe	友协
dcff	不能超过
dcfh	不予考虑
dcfq	码元
dcfy	有勇无谋
dcgg	码
dcgp	面对现实
dcgq	不难理解
dcgr	镾
dcgt	䦋
dcgy	瓺
dcha	肆虐
dchf	䀾
dchi	䦊
dcig	在通常情况下
dcik	不能满足
dcit	奋勇当先
dckf	唘
dclf	大观园
dclg	䦉
dcly	不予置评
dcmu	不能同意
dcng	友情
dcnh	䂛
dcnm	镼
dcnt	雄性
dcny	雄心
dcor	礟
dcow	雄鹰
dcpg	不能实现
dcpv	不能容忍
dcqt	大熊猫
dcqy	镹
dcrb	不难看出
dcrw	镻
dcsq	不难想象
dctd	镺
dctq	不对称
dctr	不能自拔
dcud	码头
dcuf	雄壮
dcug	友善
dcuj	肆意
dcuq	雄姿
dcvb	友好
dcvg	肆
dcwf	雄伟
dcwj	䫺
dcwn	不通人情
dcwp	不予追究
dcwr	雄风
dcwv	雄健
dcww	友人
dcwy	雄
dcyi	犮
dcyl	盋
dcyo	䳊
dcyp	友谊
dcyt	不允许
dcyy	䂘
ddaa	郁郁葱葱
ddae	大功
ddaf	大蒜
ddag	确有其事
ddah	大臣
ddao	不厌其烦
ddaq	大葱
ddar	大区
ddaw	厚古薄今
dday	夸夸其谈
ddbc	套取
ddbg	大陆
ddbn	达成了
ddbp	大院
ddbw	大队
ddby	达成了协议
ddca	大戏
ddce	还不能
ddcm	大观
ddcq	面有难色
ddcu	套
ddcw	大难
dddc	大肆
dddd	大
ddde	大有
dddf	磊
dddg	大厂
dddh	大丰
dddj	丰硕成果
dddl	不三不四
dddn	有感而发
ddds	大厅
dddt	奋不顾身
dddw	大雁
ddef	大脚
ddeh	大用
ddej	大胆
dden	大力
ddep	大腕
ddet	大胜
ddev	大腿
ddew	大办
ddey	大脑
ddfb	大地
ddfd	大城
ddfe	磭
ddff	大大超过
ddfg	硕士
ddfk	大喜
ddfm	大坝
ddfn	大声
ddfo	大赦
ddft	大都
ddfu	大增
ddfv	大雪
ddfw	大夫
ddfy	达成协议
ddga	大型
ddgc	大致
ddgf	大于
ddgg	大王
ddgj	大理
ddgk	大事
ddgn	石破天惊
ddgo	厌恶
ddgp	不顾事实
ddgq	砺
ddgs	大不一样
ddgt	大麦
ddgx	夏威夷
ddgy	碱
ddhd	碶
ddhg	顾不上
ddhh	大步
ddhk	大战
ddhq	套餐
ddht	厦
ddhy	磩
ddia	大江
ddic	大汉
ddid	大湖
ddif	大潮
ddig	大举
ddih	大小
ddii	大大小小
ddim	大油
ddio	不在少数
ddip	大学
ddis	大河
ddit	大海
ddiu	大洋
ddiv	大梁
ddiy	大洲
ddjf	大旱
ddjg	大量
ddjj	奭
ddjn	硽
ddjs	硕果
ddkg	大号
ddkh	大中
ddkk	大器
ddlg	大国
ddll	大田
ddlp	大连
ddlt	大略
ddma	大典
ddmd	奤
ddmg	大同
ddmh	大幅
ddmy	硕
ddna	大殿
ddng	大悟
ddnk	在百忙之中
ddnn	大局
ddnq	面不改色
ddnt	碱性
ddny	大忙
ddoa	大度
ddod	大庆
ddog	大业
ddol	大烟
ddoo	大火
ddoq	大炮
ddos	大麻
ddov	大数
ddoy	大米
ddpa	大赛
ddpb	大字
ddpc	郁郁寡欢
ddpf	大宗
ddpg	大家
ddpl	大军
ddpn	大雄宝殿
ddps	大宁
ddpu	大有裨益
ddpv	大案
ddpw	大肆宣传
ddqa	大错
ddqb	不顾危险
ddqf	大钱
ddqg	在不久的将来
ddqk	大名
ddqq	大多
ddrf	大肆挥霍
ddrg	大兵
ddrh	大年
ddrn	大气
ddrp	布达拉宫
ddrq	存在的
ddrr	大白
ddrs	大打
ddrv	大势
ddrx	大批
ddry	大大提高
ddsc	大树
ddsd	成龙配套
ddsh	面面相觑
ddsk	大哥
ddsm	大不相同
ddso	大楼
ddss	原原本本
ddst	大桥
ddsv	大概
ddsy	大有可为
ddta	故态复萌
ddtd	大敌
ddtf	大选
ddth	大片
ddti	左右逢源
ddtj	顾不得
ddtk	大面积
ddtn	大百科全书
ddtt	大笔
ddtu	春耕生产
dduc	大冶
ddud	大关
dduf	套装
ddug	大半
dduj	大意
dduk	大部
dduq	大奖
ddus	大新
ddut	大道
dduy	厦门
ddvb	大好
ddvc	大妈
ddve	大姐
ddvl	大有好转
ddvn	大刀
ddvu	大不如前
ddvx	历历如绘
ddvy	大娘
ddwc	大公
ddwd	大有人在
ddwf	大会
ddwg	大使
ddwh	大修
ddwm	大肆敛财
ddwo	大伙
ddwr	大风
ddws	大体
ddwt	大作
ddwu	厌倦
ddww	大众
ddwx	大化
ddwy	大有作为
ddxa	大红
ddxm	大纲
ddxq	大约
ddxs	不存幻想
ddxw	不成比例
ddxy	厐
ddyc	魇
ddyd	靥
ddye	餍
ddyf	大计
ddyg	不在话下
ddyi	厌
ddyk	大亨
ddyl	厣
ddym	太原市
ddyn	大户
ddyo	黡
ddyp	大而言之
ddyr	大义
ddyt	大为
ddyu	大有文章
ddyw	百感交集
ddyy	大方
deab	有节
deae	有功
deag	戫
deap	有劳
deat	布加勒斯特
deau	大胆革新
deav	㦽
debb	胡子
debh	郁
debv	有限
debw	历险
decq	大受欢迎
decw	不受欢迎的人
dedc	而且还可能
dedf	不胫而走
dedg	有感
dedj	有碍
dedy	有胆有识
deef	奟
deeg	硼
deeh	有用
deen	有力
deex	大力加强
defg	大力士
defh	有趣
defn	有声
defq	有无
defr	大力支持
defu	有幸
dega	有形
degc	感受到
degf	有助于
degg	砠
degj	有理
degk	有事
degn	大力开展
dego	历来
degu	面貌一新
degw	礖
degx	有毒
dehh	砽
dehk	有点
dehx	有些
deif	历法
deik	耐用消费品
deiv	不妥当
dejf	有时
dekr	历史
delc	克服困难
delf	不加思索
delw	不服输
demg	胡同
deng	有情
denm	历届
denn	大力发展
denr	大力发扬
denu	㤫
deny	历尽
deoc	有序
deoq	有底
deov	有数
depa	戞
depb	鄾
depd	有害
depk	大胆实践
depn	㥑
depw	㱊
deqa	有错
deqc	有色
deqf	有钱
deqg	鹕
deqk	有名
deqo	磶
dere	牵肠挂肚
derf	大力推进
derg	奋力抢救
derh	历年
derk	有损
derm	磘
dern	有所
dero	大力推广
derq	有的
derr	奋力拼搏
derw	有失
dery	有力措施
desc	有权
desi	不胜枚举
desv	而且要
desw	有机
detd	有知
detf	有待
detj	有利
detk	历程
deto	䃣
dett	㬼
dety	威胁利诱
deud	有关
deug	有着
deuj	有意
deuq	有奖
deuu	不服判决
deuw	有益
devk	有如
dewa	历代
dewe	䭌
dewf	大力促进
dewg	有余
dewi	有偿
dewo	鶦
dews	不加分析
dewt	历任
dewu	大胆创新
deww	三月份
dexa	历练
dexb	而且引起了
dexc	历经
dexd	磎
dexf	有线
dexx	有缘
deyk	有误
deyn	有望
deyt	有为
deyu	不用说
deyw	有效
deyy	有方
dfae	䃻
dfag	三十七
dfaj	奔
dfap	逩
dfaw	龙井茶
dfbc	夺取
dfbg	百无聊赖
dfbs	大专院校
dfce	䂶
dfcg	奔驰
dfcl	磕
dfcq	在劫难逃
dfcu	夽
dfcy	砝
dfda	大起大落
dfdc	砝码
dfdd	夸大
dfdf	原封不动
dfdg	矸石
dfdj	礝
dfdl	雄才大略
dfdn	威武不屈
dfdq	有声有色
dfdt	耕地面积
dfdu	不干不净
dfea	㦺
dfeb	鄏
dfec	㲀
dfef	辱
dfei	辰
dfej	蜃
dfek	唇
dfem	䫃
dfen	压力
dfeo	大动肝火
dfet	敐
dfeu	奔腾
dfew	㰮
dfey	大动脉
dffa	破土动工
dffd	压垮
dfff	奎
dffg	硅
dffh	奔赴
dffn	㥣
dffq	不动声色
dffu	有增无减
dffw	奋起直追
dffy	大喜过望
dfgb	奎屯
dfgf	有志于
dfgg	三十一
dfgh	有志于此
dfgj	有朝一日
dfgk	大喜事
dfgn	砖瓦
dfgq	三十万
dfhh	夺目
dfhv	不起眼
dfhw	厧
dfhy	碔
dfif	破坏活动
dfig	夸耀
dfih	奔波
dfij	大地测量
dfip	大教堂
dfis	大运河
dfiu	奈
dfiw	硕士学位
dfiy	奔流
dfjf	三元里
dfkf	㕑
dfkg	硈
dfkh	奔跑
dfkk	辱骂
dfld	大地回春
dflg	大无畏
dflh	三十四
dflk	夺回
dflu	不堪回首
dfmj	不规则
dfnb	夸
dfni	綔
dfnj	刳
dfnn	匏
dfno	鴮
dfns	有无必要
dfnt	破坏性
dfnw	㰭
dfny	砖
dfop	奉献精神
dfoy	硳
dfpb	有过之而无不及
dfpf	夺冠
dfpk	成才之路
dfpt	存款额
dfqi	达斡尔
dfra	大献殷勤
dfre	不动摇
dfrm	压制
dfrn	有志气
dfrp	压迫
dfrq	压抑
dfrr	奋起反抗
dfsa	大规模
dfsf	夺标
dfsh	礵
dfsk	大规模集成电路
dfsp	压榨
dfsr	大规模的
dfst	奔走相告
dfsv	不需要
dftb	不堪入耳
dftf	夸赞
dftg	硕士生
dfth	不堪入目
dfti	故地重游
dftj	奢
dftl	奲
dftm	奔向
dftq	不堪重负
dftt	䃝
dftx	硓
dfud	不过关
dfug	不无道理
dfuk	大声疾呼
dfup	䃮
dfuq	夸奖
dfut	不动产
dfuy	不露痕迹
dfvh	不过如此
dfvn	不过如此而已
dfvt	三十九
dfwb	破坏分子
dfwg	压倒
dfwq	奢侈
dfws	奈何
dfwt	三十八
dfww	硅谷
dfwx	奢华
dfwy	砆
dfxp	压缩
dfxt	夸张
dfxx	春雨绵绵
dfyi	压
dfym	大城市
dfyn	奢望
dfys	不堪设想
dfyt	奔放
dfyu	大块文章
dfyw	三十六
dgag	三七
dgah	研
dgaj	硎
dgak	㕃
dgam	石英
dgan	不到黄河不死心
dgao	䊙
dgaq	不求甚解
dgar	厂区
dgat	古董
dgau	古蔺
dgay	歪理邪说
dgbb	厂子
dgbg	厨卫
dgbj	咸阳
dgbn	砘
dgbw	在现阶段
dgce	三通
dgcf	厔
dgck	三台
dgcn	古巴
dgcq	面带难色
dgda	太平盛世
dgdd	三大
dgdf	硏
dgdg	大理石
dgdh	三夏
dgdi	感到不满
dgdj	三百
dgdk	不一而足
dgdo	石灰
dgdp	古来有之
dgdr	石碑
dgdv	三五成群
dgdw	成事不足败事有余
dgee	威胁
dgef	磗
dgeg	碃
dgen	威力
dgep	感受
dgey	硺
dgfc	感动
dgfd	古城
dgfg	三十
dgfh	在一起
dgfn	石块
dgfq	百万元
dgft	古老
dggb	有两下子
dggc	感到
dggd	有一天
dggf	不至于
dggg	三
dggk	威逼
dggl	太平天国
dggn	春蚕到死丝方尽
dggo	三亚
dggq	三万
dggu	三天两头
dggw	有求于人
dghf	不求上进
dghg	古
dghj	古旧
dghl	大开眼界
dghr	达到目的
dgia	三江
dgic	硬汉
dgig	感光
dgih	在政治上
dgii	三水
dgim	石油
dgip	感觉
dgiq	不正当竞争
dgir	感激
dgis	三河
dgit	威海
dgiu	太平洋
dgiv	感染
dgiw	不正当手段
dgje	三明
dgjf	古时
dgjg	硬是
dgjh	感冒
dgjr	硬
dgjt	故事影片
dgkb	䶠
dgkc	感叹
dgkf	厨
dgkh	觱
dgki	䌠
dgkk	三品
dgkm	顑
dgkn	感
dgkw	㰹
dgky	咸
dgld	感恩
dglg	礓
dgll	古田
dgln	三思
dglw	大型国企
dgma	古典
dgmf	石雕
dgmg	三峡
dgmm	石山
dgmy	碛
dgnb	威慑
dgnc	古怪
dgng	感情
dgnn	古书
dgno	有求必应
dgnp	奇珍异宝
dgnt	研发
dgnu	研习
dgnv	感慨
dgny	瓳
dgoa	硬度
dgoi	感应
dgon	三废
dgou	石料
dgoy	烕
dgpd	厉害
dgpg	厂家
dgph	在一定程度上
dgpl	三军
dgpm	在一定范围内
dgpp	不速之客
dgpr	不现实的
dgps	咸宁
dgpt	不到之处
dgpw	研究
dgqe	励
dgqn	矹
dgqt	石狮
dgrm	研制
dgrn	感到担心
dgrq	大型的
dgsh	古朴
dgsr	石棉
dgss	石林
dgst	不严格
dgsu	㭐
dgsv	硬要
dgsy	石柱
dgta	厂长
dgtd	古籍
dgte	硬盘
dgtf	三千
dgtg	石
dgth	故事片
dgti	不到长城非好汉
dgtm	硬币
dgtp	历来重视
dgtq	不平衡
dgtr	古稀
dgud	硖
dguf	砰
dguj	太平间
dguk	厂部
dguq	三资
dgus	有形资本
dgut	石首
dguu	有形资产
dgux	三北
dguy	石门
dgva	硜
dgvb	三好
dgvk	感召
dgvv	䃀
dgvy	威
dgwa	古代
dgwc	原班人马
dgwd	硬仗
dgwe	不敷使用
dgwg	三班倒
dgwh	研修
dgwi	有一分热发一分光
dgwl	达赖集团
dgwn	三亿
dgwo	大型企业
dgwq	不一会儿
dgwr	威风
dgwt	硬件
dgww	古人
dgwx	石化
dgwy	威信
dgxa	感到疑惑
dgxb	三级
dgxf	三线
dgxi	㕄
dgxo	大开绿灯
dgxp	䢕
dgxx	成正比
dgxy	戌
dgyf	研讨
dgyg	厂主
dgyh	故弄玄虚
dgyi	感到高兴
dgyn	厂房
dgyo	古迹
dgyq	大政方针
dgyt	感谢
dgyu	厂商
dgyv	硬朗
dgyw	大型文艺晚会
dgyy	三方
dhae	不散
dhaf	不甘
dhag	不巧
dhah	在此基础上
dhan	在世
dhaq	破获
dhat	厚此薄彼
dhau	戛
dhbc	存取
dhbd	存
dhbi	不逊
dhbj	℡
dhbk	在职
dhbw	破除
dhby	不及
dhce	不能
dhcf	不对
dhck	丰台
dhcn	不予
dhcw	不难
dhcy	破
dhdb	不顾
dhdd	不大
dhde	还有
dhdf	砉
dhdg	不上不下
dhdh	存在
dhdj	丰厚
dhdm	有眼不识泰山
dhdn	慧
dhdo	熭
dhdr	不愿
dhdt	不战不和
dhdu	奀
dhdv	彗
dhdy	破碎
dheb	不服
dhed	还须
dheg	丰县
dheh	甭
dhen	不力
dhes	丰采
dhet	不胜
dhev	不妥
dhfa	不堪
dhfd	在
dhff	存款
dhfg	有眼无珠
dhfi	还未
dhfj	㔻
dhfm	丰南
dhfn	在场
dhfp	不过
dhfq	不远
dhft	不孝
dhfu	不幸
dhfy	有些地方
dhgb	邳
dhgc	不致
dhgd	夏天
dhgf	丕
dhgg	不一
dhgh	歪
dhgi	不求
dhgj	不理
dhgk	㗤
dhgm	不再
dhgn	㞝
dhgo	不严
dhgq	破裂
dhgr	大龄青年
dhgu	不平
dhgy	戚
dhhe	不肯
dhhf	㪺
dhhh	不止
dhhj	破旧
dhhq	覔
dhht	夒
dhhv	慧眼
dhhx	在此
dhia	不满
dhif	不法
dhig	不清
dhii	不消
dhim	不测
dhip	在学
dhit	不少
dhiu	丰润
dhiv	不当
dhiy	不济
dhje	不明
dhjf	不时
dhjg	不是
dhjh	不畅
dhjj	夏日
dhjq	不易
dhjt	彗星
dhkf	否
dhkg	砧
dhkh	不足
dhkm	䫊
dhkw	不只
dhlg	不畏
dhlk	还回
dhlo	磠
dhlr	硵
dhlt	不图
dhma	歪曲
dhmf	不周
dhmg	不同
dhmh	不由
dhmj	否则
dhmq	不见
dhmt	不败
dhmw	在内
dhmy	碵
dhna	不懂
dhnb	不敢
dhnf	不慎
dhnh	丰收
dhnn	不已
dhnq	不懈
dhnr	不怕
dhnt	不必
dhnu	不悦
dhny	不尽
dhog	在业
dhoi	不应
dhon	不断
dhou	不料
dhow	在座
dhoy	夏粮
dhpe	不宜
dhpg	丰富
dhpi	还
dhpr	在此之后
dhps	丰宁
dhpu	在此之前
dhpv	不安
dhpw	不容
dhpy	不眠之夜
dhqa	不错
dhqc	艳
dhqd	不然
dhqe	不解
dhqh	在外
dhqi	在逃
dhqk	不够
dhqy	不久
dhrd	不振
dhrh	丰年
dhrk	破损
dhrl	在押
dhrn	在握
dhrq	不拘
dhrr	存折
dhrt	顾此失彼
dhrw	不失
dhsg	不朽
dhsh	不想
dhsi	存档
dhsk	不可
dhss	不禁
dhst	破格
dhsu	存栏
dhsv	还要
dhsw	契机
dhsy	在校
dhtb	夏季
dhtd	不知
dhte	存盘
dhtf	不等
dhtg	不行
dhth	不算
dhtj	不得
dhtk	不和
dhtl	不备
dhtp	不管
dhtq	不稳
dhtt	顾虑重重
dhtu	夏
dhtw	不符
dhty	存入
dhud	不关
dhug	不善
dhuj	在意
dhuk	不问
dhul	不曾
dhum	不端
dhun	否决
dhuq	还将
dhut	破产
dhuu	破旧立新
dhuw	不准
dhuy	破门
dhvb	孬
dhvc	在即
dhvd	契
dhvg	㸷
dhvh	觢
dhvi	不妙
dhvj	蛪
dhvk	不如
dhvm	䫔
dhvn	恝
dhvo	不灵
dhvq	䚉
dhvr	挈
dhvs	栔
dhvt	㓞
dhvv	㛃
dhvy	不妨
dhwc	不仅
dhwe	䬩
dhwf	不会
dhwg	不合
dhwh	面目全非
dhwj	不但
dhwn	不假
dhwo	鴀
dhwr	歪风
dhws	不休
dhwu	在位
dhwx	在华
dhwy	存储
dhxc	不经
dhxf	在线
dhxn	䂣
dhxp	破绽
dhxq	契约
dhxt	存疑
dhxw	还给
dhxx	不比
dhxy	在编
dhyc	破译
dhyf	不讲
dhyh	不让
dhyk	在京
dhyn	不忘
dhyo	不变
dhyr	不离
dhyt	存放
dhyu	不详
dhyv	不良
dhyw	不论
dhyy	不该
diab	䣢
diac	耯
diae	耢
diaf	耩
diaj	耤
dian	耟
diao	石油工业
diar	石油勘探
dias	磲
diat	还治其人之身
diaw	䎯
dibb	石河子
dibg	耔
dibh	䣂
dice	耗能
dick	耛
dicn	耙
dide	还没有
didf	耨
didg	大小不一
didi	耕耘
didk	有滋有味
didm	牵涉面
didn	䎨
dido	不温不火
didt	大小不等
didw	有法不依
diee	耡
dieg	硝
diek	耞
dien	感染力
difb	耕地
difc	耘
difh	感兴趣
difj	耕
difr	大学教授
difs	大兴土木
dify	不少地方
digm	耫
dign	石油天然气总公司
digq	硄
digt	春小麦
dihc	耚
dihn	耜
dihp	龙潭虎穴
diia	大沙漠
diif	感激涕零
diii	大汗淋漓
diik	耥
diim	耗油
diis	大渡河
diit	耖
diiy	大洋洲
dijf	䎪
dijg	奫
dijn	耗电
dijv	春光明媚
dijy	耦
dilc	
dill	耕田
dilp	不少国家
dilx	石油输出国组织
dimi	大学同学
dimt	厰
dink	䎤
dinw	有法必依
diny	耗尽
diod	耱
dioe	耮
dioh	大酒店
diol	硝烟
dioo	䎦
diov	耧
dipf	还没完
dipl	礑
dipm	大兴安岭
dipr	礃
dipt	不法之徒
dipu	不治之症
dirg	在党的领导下
dirq	大海捞针
dirt	䎫
diry	㼍
dish	耓
diso	感光材料
diss	不清楚
dist	大学本科
disw	有法可依
ditg	大学生
ditj	不觉得
ditk	耕种
ditm	大洋彼岸
ditn	耗
ditp	䎭
ditt	砂
ditw	大学生运动会
dity	有消息说
diuj	不满意
diuk	䎧
dium	不少意见
diuq	耗资
divl	䎩
diwa	石油化工
diwb	不法分子
diwf	不测风云
diwg	大小便
diwk	耠
diwn	石油化工总公司
diwt	耕作
diwu	春满人间
dixj	耗费
dixo	大学毕业
dixw	耭
diyd	䎮
diye	耲
diyf	石油市场
diyt	破涕为笑
diyx	成活率
diyy	耪
djag	春暖花开
djai	厚薄
djaw	大量工作
djbd	厚
djbm	百出
djdh	大是大非
djdi	胡里胡涂
djdj	不早不晚
djdn	不紧不慢
djdr	不明不白
djdw	大显威风
djef	奛
djeh	㱘
djen	懕
djeo	黶
djep	厚爱
djer	擪
djes	檿
djev	嬮
djfb	大量地
djfd	厘
djfe	㣏
djff	大昭寺
djfg	大暴雨
djfq	百元
djfs	不明真相
djgf	碍
djgg	春日融融
djgh	有鉴于此
djgk	碍事
djgq	百万
djgv	还是王码好
djgy	㼣
djhh	砷
djid	不是没有
djik	在日常生活中
djip	在野党
djjf	百里
djjh	㓦
djjj	百日
djjp	成果鉴定
djjw	成果鉴定会
djll	硕果累累
djmm	石景山
djnb	奄
djnc	㪑
djng	鹌
djnj	剦
djnt	不明飞行物
djoa	厚度
djoy	厘米
djpc	大显神通
djpu	厚实
djpy	厚礼
djqc	百色
djqn	碣
djrg	百里挑一
djrh	百年
djrn	不景气
djrq	大量的
djsy	䂺
djtd	不明智
djte	百般
djtg	䃏
djtk	厬
djtr	大显身手
djtu	大量生产
djuf	㪶
djug	面临着
djuh	面临新的挑战
djuq	成果奖
djut	厚道
djvt	百姓
djwg	百余
djwu	百倍
djwv	百分
djwx	百货
djxo	礘
djxx	䃂
djyn	厚望
dkal	历史范畴
dkbc	不足取
dkbw	历史阶段
dkcu	有口难辩
dkdd	历史丰碑
dkdk	大吃大喝
dkdr	大吹大擂
dkdu	大吵大闹
dkdy	历史奇迹
dkep	右边
dkfj	大跃进
dkfn	有口无心
dkfq	历史博物馆
dkft	历史进程
dkfy	大中城市
dkga	大中型
dkgd	历史责任感
dkgf	有别于
dkgh	大中型项目
dkgn	大吃一惊
dkgo	大中型企业
dkgp	历史事实
dkgw	历史事件
dkhf	大踏步前进
dkhg	历史上
dkhh	大踏步
dkhu	三足鼎立
dkic	历史沧桑
dkih	大中小
dkii	历史潮流
dkir	右派
dkis	大中学校
dkiy	历史小说
dkja	历史时期
dkjd	大器晚成
dkjg	历史最高水平
dkji	百川归海
dkjv	历史最高纪录
dkjy	历史时刻
dkkl	磾
dkkt	礹
dkky	历史唯物主义
dklg	成员国
dklq	有中国特色
dkly	有中国特色社会主义
dkma	奏鸣曲
dkmm	大别山
dkmy	磒
dkng	有史以来
dknk	历史性飞跃
dknl	右翼
dknn	历史必然性
dknr	历史性的
dknt	历史性
dkpt	不足之处
dkpw	百叶窗
dkrh	不足挂齿
dkrk	厛
dkrq	历史的
dkrt	右手
dksj	历史机遇
dksp	历史档案
dkti	历史长河
dktw	历史条件
dkty	历史知识
dkuj	历史背景
dkuy	历史意义
dkwe	不遗余力
dkwm	右侧
dkwo	大中企业
dkwq	历史悠久
dkwt	历史任务
dkww	三中全会
dkwx	右倾
dkwy	䧺
dkxb	㖛
dkxc	历史经验
dkxd	有口皆碑
dkxf	历史纪元
dkxj	历史经验证明
dkxv	历史纪录
dkyd	不足为奇
dkyf	历史文化名城
dkyj	历史证明
dkyt	历史文物
dkyw	历史文化
dkyx	成品率
dlaa	大罢工
dlbh	在国际上
dlby	大男子主义
dlca	不畏艰苦
dlcb	不畏艰险
dlce	奋勇
dldf	春回大地
dldk	大轰大嗡
dldq	百思不得其解
dldt	三思而后行
dldv	大男大女
dldy	䂩
dlen	奋力
dlfb	不思进取
dlff	礋
dlfg	克罗地亚
dlfh	奋起
dlfj	奋进
dlft	感恩戴德
dlge	碨
dlhk	奋战
dliy	大国沙文主义
dlkf	靣
dlkg	硘
dllk	大团圆
dlll	礧
dllr	感恩图报
dlmq	在国内外
dlnt	奋发
dlpf	三连冠
dlpy	䃛
dlsd	不置可否
dlsh	在思想上
dlsy	硱
dlts	胡思乱想
dlty	碅
dluf	奋斗
dlwd	㎎
dlwt	大田作物
dlxf	大团结
dlxi	磥
dlxj	不畏强暴
dmae	䃩
dmak	布鞋
dman	面世
dmaq	布匹
dmau	大骨节病
dmaw	碘
dmbb	面子
dmbl	布阵
dmbn	面孔
dmcc	而又
dmcf	面对
dmch	不同观点
dmdd	耐碱
dmdf	硸
dmdj	顨
dmdk	歪曲历史
dmdo	碳
dmds	泰山压顶
dmee	磞
dmeg	而且
dmeh	耐用
dmen	耐力
dmer	面貌
dmfa	不同地区
dmfe	大幅增加
dmfk	碉
dmfl	布雷
dmft	大幅增长
dmfw	百岁老人
dmgf	不同于
dmgk	硐
dmgp	歪曲事实
dmgt	不同一般
dmgu	面颊
dmhc	面皮
dmhg	原则上
dmhh	面目
dmhj	布
dmhk	布点
dmht	大幅上升
dmhw	面具
dmia	布满
dmin	大同小异
dmja	不同时期
dmjb	䩊
dmjc	䩅
dmjd	面
dmje	勔
dmjf	耐
dmjg	鸸
dmji	䩍
dmjj	而
dmjk	厕
dmjm	靧
dmjn	恧
dmjo	䎡
dmjq	䩄
dmjs	䩋
dmjt	面临
dmjv	耍
dmjw	䩎
dmjx	䩃
dmjy	布景
dmlf	布置
dmlh	面罩
dmmq	不同见解
dmmu	原则同意
dmna	布展
dmnk	碢
dmnn	布局
dmnr	不同性质
dmnt	原则性
dmnu	不同层次
dmny	耐心
dmoa	大幅度
dmod	面庞
dmoe	大幅度增加
dmog	不同类型
dmoh	䫰
dmoo	耐火
dmos	耐磨
